b1,b2,b3,o
1,2,3,8.0
1,2,4,8.9
1,2,5,49.2
1,2,6,10.4
1,3,2,11.0
1,3,4,15.8
1,3,5,60.9
1,3,6,16.0
1,4,2,17.1
1,4,3,27.7
1,4,5,70.4
1,4,6,23.0
1,5,2,150.1
1,5,3,171.2
1,5,4,170.5
1,5,6,150.6
1,6,2,25.3
1,6,3,35.1
1,6,4,41.3
1,6,5,143.1
2,1,3,27.2
2,1,4,28.7
2,1,5,121.0
2,1,6,27.6
2,3,1,84.6
2,3,4,159.3
2,3,5,422.8
2,3,6,115.4
2,4,1,106.2
2,4,3,207.3
2,4,5,482.9
2,4,6,121.0
2,5,1,576.2
2,5,3,778.8
2,5,4,976.1
2,5,6,644.5
2,6,1,79.0
2,6,3,147.6
2,6,4,152.8
2,6,5,530.7
3,1,2,52.2
3,1,4,64.8
3,1,5,170.6
3,1,6,54.2
3,2,1,100.0
3,2,4,173.8
3,2,5,398.2
3,2,6,129.3
3,4,1,146.5
3,4,2,206.9
3,4,5,448.9
3,4,6,167.7
3,5,1,518.1
3,5,2,672.6
3,5,4,827.6
3,5,6,685.1
3,6,1,115.6
3,6,2,148.3
3,6,4,222.7
3,6,5,565.6
4,1,2,136.7
4,1,3,203.8
4,1,5,305.2
4,1,6,139.1
4,2,1,214.7
4,2,3,395.2
4,2,5,685.1
4,2,6,229.2
4,3,1,307.2
4,3,2,414.2
4,3,5,837.0
4,3,6,362.7
4,5,1,529.2
4,5,2,758.1
4,5,3,931.8
4,5,6,563.9
4,6,1,213.2
4,6,2,261.2
4,6,3,394.4
4,6,5,596.7
5,1,2,734.0
5,1,3,729.6
5,1,4,860.3
5,1,6,765.9
5,2,1,1002.0
5,2,3,1030.0
5,2,4,999.8
5,2,6,943.7
5,3,1,1036.0
5,3,2,1380.0
5,3,4,2138.0
5,3,6,1629.0
5,4,1,1121.0
5,4,2,1396.0
5,4,3,1859.0
5,4,6,1345.0
5,6,1,1380.0
5,6,2,1567.0
5,6,3,1897.0
5,6,4,1745.0
6,1,2,110.6
6,1,3,151.4
6,1,4,219.4
6,1,5,636.7
6,2,1,158.9
6,2,3,249.9
6,2,4,327.9
6,2,5,978.7
6,3,1,240.5
6,3,2,307.0
6,3,4,515.2
6,3,5,1254.0
6,4,1,377.5
6,4,2,399.0
6,4,3,672.6
6,4,5,1159.0
6,5,1,1181.0
6,5,2,1445.0
6,5,3,1651.0
6,5,4,1350.0
