b1,b2,b3,o
1,2,3,15.0
1,2,4,7.5
1,2,5,23.2
1,2,6,34.1
1,3,2,26.4
1,3,4,18.3
1,3,5,37.1
1,3,6,55.9
1,4,2,8.7
1,4,3,17.5
1,4,5,14.7
1,4,6,23.3
1,5,2,42.9
1,5,3,62.0
1,5,4,38.0
1,5,6,85.0
1,6,2,108.7
1,6,3,170.7
1,6,4,97.5
1,6,5,158.0
2,1,3,57.6
2,1,4,29.0
2,1,5,68.8
2,1,6,92.1
2,3,1,168.0
2,3,4,158.8
2,3,5,288.7
2,3,6,358.5
2,4,1,52.2
2,4,3,125.1
2,4,5,97.8
2,4,6,107.5
2,5,1,218.2
2,5,3,382.7
2,5,4,201.6
2,5,6,376.1
2,6,1,379.9
2,6,3,652.9
2,6,4,309.7
2,6,5,629.9
3,1,2,129.5
3,1,4,95.9
3,1,5,153.4
3,1,6,217.2
3,2,1,260.1
3,2,4,244.4
3,2,5,360.9
3,2,6,505.9
3,4,1,179.2
3,4,2,269.5
3,4,5,305.9
3,4,6,334.9
3,5,1,353.8
3,5,2,517.1
3,5,4,529.5
3,5,6,620.5
3,6,1,636.3
3,6,2,924.7
3,6,4,767.7
3,6,5,1117.0
4,1,2,32.5
4,1,3,78.5
4,1,5,39.6
4,1,6,53.4
4,2,1,57.4
4,2,3,157.9
4,2,5,86.4
4,2,6,97.5
4,3,1,200.8
4,3,2,283.3
4,3,5,320.0
4,3,6,328.1
4,5,1,57.1
4,5,2,80.5
4,5,3,176.0
4,5,6,71.2
4,6,1,116.0
4,6,2,144.3
4,6,3,300.8
4,6,5,125.8
5,1,2,185.7
5,1,3,258.3
5,1,4,146.2
5,1,6,256.0
5,2,1,352.1
5,2,3,522.8
5,2,4,311.0
5,2,6,517.1
5,3,1,550.4
5,3,2,778.9
5,3,4,719.2
5,3,6,975.1
5,4,1,174.2
5,4,2,248.9
5,4,3,461.7
5,4,6,262.1
5,6,1,726.1
5,6,2,982.8
5,6,3,1124.0
5,6,4,566.2
6,1,2,677.6
6,1,3,1165.0
6,1,4,724.7
6,1,5,1207.0
6,2,1,867.0
6,2,3,1416.0
6,2,4,712.4
6,2,5,1746.0
6,3,1,1416.0
6,3,2,1986.0
6,3,4,1683.0
6,3,5,2275.0
6,4,1,785.4
6,4,2,625.7
6,4,3,1618.0
6,4,5,764.6
6,5,1,1746.0
6,5,2,1762.0
6,5,3,2157.0
6,5,4,845.5
