b1,b2,b3,o
1,2,3,21.0
1,2,4,12.4
1,2,5,12.6
1,2,6,62.3
1,3,2,45.1
1,3,4,53.6
1,3,5,49.3
1,3,6,111.6
1,4,2,25.8
1,4,3,66.8
1,4,5,32.5
1,4,6,94.7
1,5,2,23.1
1,5,3,57.3
1,5,4,38.4
1,5,6,91.2
1,6,2,225.5
1,6,3,283.7
1,6,4,239.5
1,6,5,254.8
2,1,3,29.4
2,1,4,18.4
2,1,5,16.8
2,1,6,71.3
2,3,1,52.6
2,3,4,41.8
2,3,5,32.9
2,3,6,86.5
2,4,1,33.6
2,4,3,51.0
2,4,5,23.5
2,4,6,60.2
2,5,1,31.9
2,5,3,41.3
2,5,4,28.1
2,5,6,61.9
2,6,1,228.9
2,6,3,238.8
2,6,4,178.9
2,6,5,176.3
3,1,2,125.3
3,1,4,155.7
3,1,5,136.3
3,1,6,269.1
3,2,1,135.2
3,2,4,101.1
3,2,5,78.9
3,2,6,182.7
3,4,1,289.9
3,4,2,189.9
3,4,5,211.5
3,4,6,330.6
3,5,1,223.4
3,5,2,125.5
3,5,4,208.3
3,5,6,279.9
3,6,1,1055.0
3,6,2,760.1
3,6,4,883.6
3,6,5,751.1
4,1,2,72.9
4,1,3,207.1
4,1,5,84.4
4,1,6,216.9
4,2,1,82.7
4,2,3,167.5
4,2,5,67.2
4,2,6,189.7
4,3,1,464.6
4,3,2,302.1
4,3,5,339.2
4,3,6,596.3
4,5,1,100.7
4,5,2,74.9
4,5,3,234.9
4,5,6,156.8
4,6,1,606.6
4,6,2,406.0
4,6,3,796.6
4,6,5,391.8
5,1,2,74.3
5,1,3,201.4
5,1,4,120.9
5,1,6,213.5
5,2,1,83.5
5,2,3,129.9
5,2,4,86.5
5,2,6,182.0
5,3,1,395.8
5,3,2,227.9
5,3,4,454.5
5,3,6,545.8
5,4,1,156.5
5,4,2,111.8
5,4,3,384.2
5,4,6,243.9
5,6,1,559.3
5,6,2,470.8
5,6,3,869.0
5,6,4,538.3
6,1,2,1168.0
6,1,3,2035.0
6,1,4,1802.0
6,1,5,1509.0
6,2,1,1389.0
6,2,3,1440.0
6,2,4,919.7
6,2,5,1099.0
6,3,1,2372.0
6,3,2,1959.0
6,3,4,2237.0
6,3,5,2319.0
6,4,1,1877.0
6,4,2,995.1
6,4,3,2269.0
6,4,5,1251.0
6,5,1,1502.0
6,5,2,1051.0
6,5,3,1984.0
6,5,4,1058.0
