b1,b2,b3,o
1,2,3,28.2
1,2,4,50.1
1,2,5,10.9
1,2,6,23.9
1,3,2,53.5
1,3,4,145.7
1,3,5,60.2
1,3,6,131.5
1,4,2,168.8
1,4,3,241.1
1,4,5,148.7
1,4,6,263.4
1,5,2,21.2
1,5,3,62.7
1,5,4,120.3
1,5,6,31.6
1,6,2,66.7
1,6,3,164.9
1,6,4,275.3
1,6,5,63.8
2,1,3,35.3
2,1,4,62.4
2,1,5,13.7
2,1,6,25.2
2,3,1,90.4
2,3,4,257.3
2,3,5,72.2
2,3,6,126.0
2,4,1,252.0
2,4,3,362.7
2,4,5,182.4
2,4,6,269.8
2,5,1,10.8
2,5,3,39.2
2,5,4,100.4
2,5,6,16.6
2,6,1,53.4
2,6,3,113.3
2,6,4,224.3
2,6,5,31.2
3,1,2,166.7
3,1,4,459.5
3,1,5,188.0
3,1,6,435.0
3,2,1,179.5
3,2,4,520.1
3,2,5,149.6
3,2,6,238.2
3,4,1,1035.0
3,4,2,1002.0
3,4,5,646.7
3,4,6,1062.0
3,5,1,244.4
3,5,2,168.6
3,5,4,533.8
3,5,6,282.9
3,6,1,866.9
3,6,2,305.6
3,6,4,1186.0
3,6,5,473.8
4,1,2,398.1
4,1,3,764.0
4,1,5,324.2
4,1,6,496.9
4,2,1,417.2
4,2,3,860.8
4,2,5,300.3
4,2,6,456.1
4,3,1,1101.0
4,3,2,1629.0
4,3,5,843.0
4,3,6,1222.0
4,5,1,281.0
4,5,2,295.2
4,5,3,560.7
4,5,6,235.0
4,6,1,640.0
4,6,2,442.9
4,6,3,1121.0
4,6,5,374.9
5,1,2,34.1
5,1,3,100.2
5,1,4,205.7
5,1,6,38.5
5,2,1,32.7
5,2,3,78.0
5,2,4,146.5
5,2,6,23.3
5,3,1,230.2
5,3,2,196.8
5,3,4,614.2
5,3,6,234.1
5,4,1,335.8
5,4,2,269.2
5,4,3,414.3
5,4,6,233.7
5,6,1,38.5
5,6,2,24.5
5,6,3,101.1
5,6,4,103.0
6,1,2,157.7
6,1,3,473.8
6,1,4,596.3
6,1,5,141.8
6,2,1,180.5
6,2,3,353.3
6,2,4,384.4
6,2,5,78.1
6,3,1,940.3
6,3,2,483.1
6,3,4,1222.0
6,3,5,540.9
6,4,1,1164.0
6,4,2,759.2
6,4,3,1405.0
6,4,5,454.4
6,5,1,100.6
6,5,2,54.6
6,5,3,225.5
6,5,4,209.6
