b1,b2,b3,o
1,2,3,38.7
1,2,4,46.1
1,2,5,64.9
1,2,6,56.4
1,3,2,41.1
1,3,4,27.4
1,3,5,35.3
1,3,6,48.4
1,4,2,62.7
1,4,3,52.1
1,4,5,69.4
1,4,6,79.7
1,5,2,104.5
1,5,3,73.2
1,5,4,120.9
1,5,6,151.6
1,6,2,144.3
1,6,3,143.8
1,6,4,167.7
1,6,5,221.0
2,1,3,60.8
2,1,4,78.6
2,1,5,103.1
2,1,6,134.1
2,3,1,72.4
2,3,4,27.1
2,3,5,34.0
2,3,6,74.9
2,4,1,103.6
2,4,3,39.5
2,4,5,62.6
2,4,6,82.3
2,5,1,164.4
2,5,3,78.3
2,5,4,108.5
2,5,6,146.8
2,6,1,328.9
2,6,3,217.5
2,6,4,183.6
2,6,5,256.2
3,1,2,59.7
3,1,4,39.6
3,1,5,40.4
3,1,6,85.2
3,2,1,80.4
3,2,4,29.1
3,2,5,33.9
3,2,6,63.9
3,4,1,53.4
3,4,2,32.8
3,4,5,24.0
3,4,6,40.7
3,5,1,71.0
3,5,2,54.5
3,5,4,42.6
3,5,6,66.5
3,6,1,211.5
3,6,2,176.6
3,6,4,122.1
3,6,5,129.5
4,1,2,110.5
4,1,3,99.7
4,1,5,79.9
4,1,6,111.5
4,2,1,133.8
4,2,3,57.3
4,2,5,67.8
4,2,6,88.5
4,3,1,93.4
4,3,2,57.8
4,3,5,50.7
4,3,6,64.8
4,5,1,86.0
4,5,2,75.0
4,5,3,64.0
4,5,6,67.7
4,6,1,181.2
4,6,2,129.3
4,6,3,126.9
4,6,5,120.2
5,1,2,227.0
5,1,3,172.6
5,1,4,240.0
5,1,6,268.6
5,2,1,268.6
5,2,3,133.6
5,2,4,191.1
5,2,6,238.0
5,3,1,165.4
5,3,2,123.5
5,3,4,109.6
5,3,6,181.2
5,4,1,233.3
5,4,2,188.1
5,4,3,120.7
5,4,6,179.2
5,6,1,341.0
5,6,2,388.6
5,6,3,306.0
5,6,4,297.3
6,1,2,477.4
6,1,3,553.3
6,1,4,720.2
6,1,5,623.5
6,2,1,632.9
6,2,3,415.6
6,2,4,354.0
6,2,5,652.7
6,3,1,628.2
6,3,2,494.3
6,3,4,419.8
6,3,5,482.9
6,4,1,780.8
6,4,2,374.6
6,4,3,535.5
6,4,5,411.5
6,5,1,714.1
6,5,2,702.1
6,5,3,474.7
6,5,4,407.5
