b1,b2,b3,o
1,2,3,7.5
1,2,4,19.7
1,2,5,16.3
1,2,6,26.5
1,3,2,8.8
1,3,4,16.1
1,3,5,12.5
1,3,6,25.3
1,4,2,37.8
1,4,3,38.3
1,4,5,47.3
1,4,6,46.6
1,5,2,36.1
1,5,3,32.3
1,5,4,63.2
1,5,6,57.4
1,6,2,81.6
1,6,3,89.4
1,6,4,111.9
1,6,5,124.0
2,1,3,39.3
2,1,4,79.0
2,1,5,64.5
2,1,6,102.3
2,3,1,64.9
2,3,4,109.5
2,3,5,95.7
2,3,6,164.5
2,4,1,197.6
2,4,3,192.5
2,4,5,243.5
2,4,6,242.5
2,5,1,185.4
2,5,3,175.6
2,5,4,296.3
2,5,6,353.3
2,6,1,299.0
2,6,3,441.4
2,6,4,459.2
2,6,5,533.1
3,1,2,32.1
3,1,4,40.3
3,1,5,30.9
3,1,6,63.4
3,2,1,64.0
3,2,4,102.0
3,2,5,82.0
3,2,6,146.3
3,4,1,104.2
3,4,2,119.3
3,4,5,110.4
3,4,6,147.3
3,5,1,81.8
3,5,2,109.4
3,5,4,147.1
3,5,6,172.9
3,6,1,252.7
3,6,2,331.2
3,6,4,326.0
3,6,5,338.3
4,1,2,185.7
4,1,3,189.7
4,1,5,196.8
4,1,6,230.3
4,2,1,289.5
4,2,3,284.1
4,2,5,344.2
4,2,6,365.9
4,3,1,278.5
4,3,2,279.2
4,3,5,301.1
4,3,6,382.9
4,5,1,271.1
4,5,2,324.4
4,5,3,338.9
4,5,6,315.6
4,6,1,409.1
4,6,2,460.6
4,6,3,479.6
4,6,5,491.8
5,1,2,190.0
5,1,3,146.7
5,1,4,320.0
5,1,6,298.6
5,2,1,287.2
5,2,3,264.3
5,2,4,479.2
5,2,6,530.4
5,3,1,197.3
5,3,2,257.3
5,3,4,420.0
5,3,6,542.1
5,4,1,467.2
5,4,2,569.6
5,4,3,509.3
5,4,6,564.4
5,6,1,618.9
5,6,2,866.1
5,6,3,774.6
5,6,4,810.3
6,1,2,350.5
6,1,3,454.4
6,1,4,626.4
6,1,5,597.3
6,2,1,455.8
6,2,3,719.4
6,2,4,788.5
6,2,5,888.6
6,3,1,623.3
6,3,2,815.6
6,3,4,757.4
6,3,5,960.7
6,4,1,834.4
6,4,2,797.7
6,4,3,928.8
6,4,5,983.7
6,5,1,855.3
6,5,2,1049.0
6,5,3,1033.0
6,5,4,1022.0
