b1,b2,b3,o
1,2,3,39.2
1,2,4,80.6
1,2,5,122.5
1,2,6,74.1
1,3,2,29.8
1,3,4,20.5
1,3,5,30.7
1,3,6,19.3
1,4,2,111.6
1,4,3,52.8
1,4,5,91.8
1,4,6,80.0
1,5,2,207.2
1,5,3,104.4
1,5,4,154.8
1,5,6,153.9
1,6,2,88.3
1,6,3,39.7
1,6,4,70.6
1,6,5,102.2
2,1,3,123.5
2,1,4,213.9
2,1,5,286.4
2,1,6,188.0
2,3,1,142.9
2,3,4,133.2
2,3,5,166.7
2,3,6,127.3
2,4,1,405.9
2,4,3,240.1
2,4,5,376.5
2,4,6,280.1
2,5,1,624.0
2,5,3,402.9
2,5,4,609.2
2,5,6,591.0
2,6,1,323.3
2,6,3,208.4
2,6,4,286.0
2,6,5,367.0
3,1,2,53.7
3,1,4,26.9
3,1,5,35.7
3,1,6,24.4
3,2,1,104.0
3,2,4,87.6
3,2,5,94.7
3,2,6,76.1
3,4,1,34.1
3,4,2,65.5
3,4,5,20.3
3,4,6,18.8
3,5,1,63.2
3,5,2,93.4
3,5,4,35.9
3,5,6,35.0
3,6,1,29.1
3,6,2,54.9
3,6,4,20.4
3,6,5,26.2
4,1,2,279.4
4,1,3,131.3
4,1,5,193.1
4,1,6,213.9
4,2,1,393.8
4,2,3,273.3
4,2,5,355.9
4,2,6,334.7
4,3,1,85.1
4,3,2,159.9
4,3,5,58.4
4,3,6,61.1
4,5,1,167.5
4,5,2,220.3
4,5,3,93.1
4,5,6,124.1
4,6,1,217.9
4,6,2,273.5
4,6,3,102.5
4,6,5,155.2
5,1,2,434.1
5,1,3,217.4
5,1,4,391.0
5,1,6,390.6
5,2,1,659.8
5,2,3,431.1
5,2,4,635.8
5,2,6,657.8
5,3,1,194.5
5,3,2,287.1
5,3,4,139.3
5,3,6,143.3
5,4,1,353.3
5,4,2,474.7
5,4,3,176.0
5,4,6,248.0
5,6,1,437.2
5,6,2,604.1
5,6,3,198.6
5,6,4,299.5
6,1,2,191.1
6,1,3,91.4
6,1,4,184.0
6,1,5,216.7
6,2,1,303.7
6,2,3,208.0
6,2,4,305.0
6,2,5,385.5
6,3,1,66.9
6,3,2,116.9
6,3,4,52.6
6,3,5,64.8
6,4,1,214.8
6,4,2,264.0
6,4,3,101.4
6,4,5,158.8
6,5,1,326.9
6,5,2,419.1
6,5,3,156.1
6,5,4,216.6
