b1,b2,b3,o
1,2,3,6.1
1,2,4,29.8
1,2,5,28.5
1,2,6,59.2
1,3,2,4.3
1,3,4,11.9
1,3,5,10.0
1,3,6,30.3
1,4,2,65.5
1,4,3,43.7
1,4,5,89.5
1,4,6,142.2
1,5,2,64.5
1,5,3,37.2
1,5,4,120.2
1,5,6,169.3
1,6,2,233.7
1,6,3,146.4
1,6,4,278.1
1,6,5,418.4
2,1,3,33.4
2,1,4,98.2
2,1,5,136.4
2,1,6,263.4
2,3,1,50.1
2,3,4,144.3
2,3,5,149.5
2,3,6,425.5
2,4,1,165.9
2,4,3,336.4
2,4,5,321.2
2,4,6,1059.0
2,5,1,278.1
2,5,3,299.9
2,5,4,273.5
2,5,6,267.7
2,6,1,843.9
2,6,3,1131.0
2,6,4,1244.0
2,6,5,1383.0
3,1,2,14.4
3,1,4,26.7
3,1,5,20.3
3,1,6,80.7
3,2,1,34.3
3,2,4,94.1
3,2,5,72.3
3,2,6,276.6
3,4,1,70.9
3,4,2,119.1
3,4,5,132.0
3,4,6,229.4
3,5,1,68.4
3,5,2,105.9
3,5,4,163.7
3,5,6,301.7
3,6,1,338.7
3,6,2,614.7
3,6,4,592.7
3,6,5,585.8
4,1,2,235.9
4,1,3,190.7
4,1,5,208.3
4,1,6,377.2
4,2,1,429.2
4,2,3,559.4
4,2,5,976.3
4,2,6,1016.0
4,3,1,234.8
4,3,2,429.2
4,3,5,488.1
4,3,6,803.1
4,5,1,404.8
4,5,2,638.3
4,5,3,585.8
4,5,6,655.1
4,6,1,1158.0
4,6,2,1422.0
4,6,3,1310.0
4,6,5,1508.0
5,1,2,319.1
5,1,3,187.9
5,1,4,529.7
5,1,6,599.9
5,2,1,579.0
5,2,3,353.1
5,2,4,905.3
5,2,6,1244.0
5,3,1,237.1
5,3,2,341.0
5,3,4,711.3
5,3,6,858.5
5,4,1,524.1
5,4,2,1037.0
5,4,3,922.1
5,4,6,889.1
5,6,1,1778.0
5,6,2,1345.0
5,6,3,1082.0
5,6,4,1606.0
6,1,2,1059.0
6,1,3,1345.0
6,1,4,1422.0
6,1,5,1659.0
6,2,1,1606.0
6,2,3,1717.0
6,2,4,1915.0
6,2,5,1778.0
6,3,1,1556.0
6,3,2,1464.0
6,3,4,1991.0
6,3,5,1659.0
6,4,1,1991.0
6,4,2,1991.0
6,4,3,2620.0
6,4,5,2263.0
6,5,1,2074.0
6,5,2,1659.0
6,5,3,1606.0
6,5,4,1844.0
