b1,b2,b3,o
1,2,3,63.7
1,2,4,10.1
1,2,5,16.3
1,2,6,142.7
1,3,2,87.0
1,3,4,75.5
1,3,5,130.9
1,3,6,180.7
1,4,2,11.3
1,4,3,71.3
1,4,5,15.2
1,4,6,93.3
1,5,2,59.7
1,5,3,102.7
1,5,4,59.7
1,5,6,187.8
1,6,2,250.4
1,6,3,241.9
1,6,4,209.9
1,6,5,310.3
2,1,3,115.1
2,1,4,24.9
2,1,5,62.3
2,1,6,165.9
2,3,1,183.0
2,3,4,122.0
2,3,5,178.4
2,3,6,446.1
2,4,1,29.5
2,4,3,89.7
2,4,5,29.7
2,4,6,113.2
2,5,1,77.1
2,5,3,142.7
2,5,4,53.6
2,5,6,142.7
2,6,1,264.3
2,6,3,492.2
2,6,4,279.9
2,6,5,396.5
3,1,2,195.5
3,1,4,117.9
3,1,5,137.2
3,1,6,375.6
3,2,1,226.5
3,2,4,117.9
3,2,5,130.9
3,2,6,356.8
3,4,1,145.6
3,4,2,169.9
3,4,5,195.5
3,4,6,250.4
3,5,1,234.0
3,5,2,254.9
3,5,4,203.9
3,5,6,375.6
3,6,1,407.8
3,6,2,460.5
3,6,4,492.2
3,6,5,356.8
4,1,2,24.4
4,1,3,66.7
4,1,5,24.6
4,1,6,73.2
4,2,1,30.3
4,2,3,78.4
4,2,5,22.8
4,2,6,84.4
4,3,1,132.1
4,3,2,190.3
4,3,5,160.3
4,3,6,209.9
4,5,1,27.2
4,5,2,23.0
4,5,3,83.9
4,5,6,42.8
4,6,1,219.6
4,6,2,237.9
4,6,3,407.8
4,6,5,139.9
5,1,2,104.2
5,1,3,223.0
5,1,4,84.4
5,1,6,230.2
5,2,1,96.4
5,2,3,206.8
5,2,4,66.7
5,2,6,216.2
5,3,1,339.8
5,3,2,396.5
5,3,4,396.5
5,3,6,279.9
5,4,1,63.1
5,4,2,72.4
5,4,3,219.6
5,4,6,127.4
5,6,1,375.6
5,6,2,348.1
5,6,3,446.1
5,6,4,385.8
6,1,2,331.9
6,1,3,571.0
6,1,4,375.6
6,1,5,432.5
6,2,1,571.0
6,2,3,446.1
6,2,4,571.0
6,2,5,348.1
6,3,1,620.6
6,3,2,713.7
6,3,4,509.8
6,3,5,751.3
6,4,1,475.8
6,4,2,475.8
6,4,3,492.2
6,4,5,366.0
6,5,1,571.0
6,5,2,679.7
6,5,3,648.8
6,5,4,396.5
