b1,b2,b3,o
1,2,3,10.5
1,2,4,26.0
1,2,5,53.9
1,2,6,19.0
1,3,2,8.7
1,3,4,15.2
1,3,5,19.7
1,3,6,9.1
1,4,2,38.6
1,4,3,29.1
1,4,5,79.7
1,4,6,40.3
1,5,2,151.4
1,5,3,79.1
1,5,4,194.2
1,5,6,100.9
1,6,2,39.5
1,6,3,24.2
1,6,4,63.5
1,6,5,64.0
2,1,3,40.3
2,1,4,138.3
2,1,5,238.5
2,1,6,84.8
2,3,1,65.4
2,3,4,256.7
2,3,5,332.9
2,3,6,134.6
2,4,1,488.6
2,4,3,426.7
2,4,5,865.6
2,4,6,348.2
2,5,1,704.5
2,5,3,415.0
2,5,4,1122.0
2,5,6,841.5
2,6,1,206.0
2,6,3,178.2
2,6,4,445.5
2,6,5,738.9
3,1,2,28.2
3,1,4,51.7
3,1,5,49.9
3,1,6,22.4
3,2,1,55.5
3,2,4,210.3
3,2,5,252.4
3,2,6,87.8
3,4,1,127.2
3,4,2,256.7
3,4,5,415.0
3,4,6,156.9
3,5,1,200.6
3,5,2,365.0
3,5,4,459.0
3,5,6,261.1
3,6,1,56.4
3,6,2,109.7
3,6,4,180.3
3,6,5,233.0
4,1,2,148.5
4,1,3,114.3
4,1,5,132.8
4,1,6,74.8
4,2,1,360.6
4,2,3,299.9
4,2,5,496.6
4,2,6,227.7
4,3,1,187.0
4,3,2,340.4
4,3,5,348.2
4,3,6,216.4
4,5,1,171.1
4,5,2,332.9
4,5,3,315.5
4,5,6,127.2
4,6,1,102.0
4,6,2,161.1
4,6,3,171.1
4,6,5,146.3
5,1,2,459.0
5,1,3,360.6
5,1,4,348.2
5,1,6,291.3
5,2,1,797.2
5,2,3,466.0
5,2,4,776.8
5,2,6,631.1
5,3,1,415.0
5,3,2,644.6
5,3,4,841.5
5,3,6,459.0
5,4,1,383.4
5,4,2,776.8
5,4,3,531.5
5,4,6,261.1
5,6,1,522.3
5,6,2,605.9
5,6,3,369.4
5,6,4,496.6
6,1,2,137.7
6,1,3,95.8
6,1,4,277.9
6,1,5,312.3
6,2,1,250.3
6,2,3,221.1
6,2,4,496.6
6,2,5,571.6
6,3,1,128.9
6,3,2,199.3
6,3,4,459.0
6,3,5,415.0
6,4,1,388.4
6,4,2,631.1
6,4,3,561.0
6,4,5,488.6
6,5,1,605.9
6,5,2,688.5
6,5,3,550.8
6,5,4,541.0
