b1,b2,b3,o
1,2,3,234.8
1,2,4,194.9
1,2,5,240.6
1,2,6,240.6
1,3,2,198.8
1,3,4,36.7
1,3,5,85.4
1,3,6,48.3
1,4,2,78.9
1,4,3,31.7
1,4,5,49.8
1,4,6,25.9
1,5,2,295.3
1,5,3,144.3
1,5,4,121.0
1,5,6,140.2
1,6,2,211.8
1,6,3,79.8
1,6,4,62.8
1,6,5,142.2
2,1,3,649.6
2,1,4,556.8
2,1,5,263.3
2,1,6,609.0
2,3,1,928.1
2,3,4,609.0
2,3,5,406.0
2,3,6,1499.0
2,4,1,628.7
2,4,3,590.6
2,4,5,696.0
2,4,6,609.0
2,5,1,442.9
2,5,3,541.3
2,5,4,928.1
2,5,6,475.3
2,6,1,779.6
2,6,3,1025.0
2,6,4,487.2
2,6,5,812.0
3,1,2,319.5
3,1,4,55.6
3,1,5,101.5
3,1,6,69.1
3,2,1,779.6
3,2,4,309.3
3,2,5,282.4
3,2,6,696.0
3,4,1,55.8
3,4,2,182.1
3,4,5,37.7
3,4,6,19.9
3,5,1,142.2
3,5,2,214.1
3,5,4,70.1
3,5,6,97.9
3,6,1,83.6
3,6,2,282.4
3,6,4,32.8
3,6,5,84.7
4,1,2,177.1
4,1,3,46.9
4,1,5,40.1
4,1,6,30.7
4,2,1,341.9
4,2,3,319.5
4,2,5,397.7
4,2,6,319.5
4,3,1,46.2
4,3,2,234.8
4,3,5,30.8
4,3,6,17.6
4,5,1,38.2
4,5,2,234.8
4,5,3,33.8
4,5,6,14.2
4,6,1,25.7
4,6,2,143.3
4,6,3,15.3
4,6,5,13.6
5,1,2,304.5
5,1,3,209.5
5,1,4,168.0
5,1,6,203.0
5,2,1,389.8
5,2,3,360.9
5,2,4,512.9
5,2,6,609.0
5,3,1,270.6
5,3,2,341.9
5,3,4,133.4
5,3,6,149.9
5,4,1,143.3
5,4,2,367.7
5,4,3,97.9
5,4,6,41.9
5,6,1,159.7
5,6,2,330.3
5,6,3,125.7
5,6,4,70.3
6,1,2,246.7
6,1,3,180.4
6,1,4,117.4
6,1,5,246.7
6,2,1,464.0
6,2,3,573.2
6,2,4,433.1
6,2,5,573.2
6,3,1,178.8
6,3,2,382.1
6,3,4,46.6
6,3,5,129.0
6,4,1,92.8
6,4,2,226.6
6,4,3,42.8
6,4,5,44.3
6,5,1,278.4
6,5,2,487.2
6,5,3,198.8
6,5,4,88.9
