b1,b2,b3,o
1,2,3,13.9
1,2,4,9.9
1,2,5,18.8
1,2,6,14.1
1,3,2,21.3
1,3,4,27.1
1,3,5,36.0
1,3,6,31.5
1,4,2,16.4
1,4,3,37.6
1,4,5,31.5
1,4,6,22.1
1,5,2,32.9
1,5,3,57.5
1,5,4,50.2
1,5,6,43.0
1,6,2,39.3
1,6,3,76.0
1,6,4,50.6
1,6,5,78.5
2,1,3,43.1
2,1,4,28.7
2,1,5,50.3
2,1,6,35.0
2,3,1,105.9
2,3,4,138.3
2,3,5,187.6
2,3,6,152.0
2,4,1,72.5
2,4,3,145.9
2,4,5,133.0
2,4,6,73.6
2,5,1,171.5
2,5,3,275.3
2,5,4,235.3
2,5,6,181.3
2,6,1,124.3
2,6,3,265.7
2,6,4,139.7
2,6,5,224.3
3,1,2,60.3
3,1,4,65.8
3,1,5,89.5
3,1,6,82.3
3,2,1,125.5
3,2,4,148.9
3,2,5,185.5
3,2,6,171.8
3,4,1,152.6
3,4,2,168.5
3,4,5,234.9
3,4,6,181.0
3,5,1,232.4
3,5,2,252.4
3,5,4,365.6
3,5,6,283.6
3,6,1,280.2
3,6,2,298.1
3,6,4,372.6
3,6,5,412.0
4,1,2,75.6
4,1,3,172.5
4,1,5,108.7
4,1,6,97.6
4,2,1,128.6
4,2,3,256.8
4,2,5,200.9
4,2,6,128.0
4,3,1,287.0
4,3,2,328.5
4,3,5,445.8
4,3,6,328.3
4,5,1,172.6
4,5,2,214.2
4,5,3,385.2
4,5,6,161.4
4,6,1,185.3
4,6,2,158.9
4,6,3,425.5
4,6,5,234.2
5,1,2,153.4
5,1,3,234.6
5,1,4,212.9
5,1,6,181.9
5,2,1,281.4
5,2,3,393.3
5,2,4,373.2
5,2,6,278.4
5,3,1,442.0
5,3,2,460.7
5,3,4,739.3
5,3,6,584.0
5,4,1,322.4
5,4,2,391.3
5,4,3,652.5
5,4,6,307.4
5,6,1,375.0
5,6,2,369.9
5,6,3,657.1
5,6,4,413.8
6,1,2,180.3
6,1,3,422.8
6,1,4,262.9
6,1,5,445.4
6,2,1,236.4
6,2,3,512.3
6,2,4,254.0
6,2,5,448.8
6,3,1,699.4
6,3,2,663.7
6,3,4,711.1
6,3,5,1036.0
6,4,1,398.3
6,4,2,304.0
6,4,3,818.3
6,4,5,473.8
6,5,1,688.1
6,5,2,596.7
6,5,3,928.9
6,5,4,598.2
