b1,b2,b3,o
1,2,3,32.6
1,2,4,20.6
1,2,5,81.0
1,2,6,156.8
1,3,2,60.8
1,3,4,51.7
1,3,5,112.6
1,3,6,277.0
1,4,2,22.8
1,4,3,39.8
1,4,5,60.0
1,4,6,106.6
1,5,2,155.4
1,5,3,163.6
1,5,4,141.3
1,5,6,381.7
1,6,2,365.4
1,6,3,592.3
1,6,4,312.3
1,6,5,701.1
2,1,3,36.2
2,1,4,20.1
2,1,5,91.3
2,1,6,193.0
2,3,1,47.0
2,3,4,14.8
2,3,5,60.7
2,3,6,113.7
2,4,1,20.3
2,4,3,11.4
2,4,5,25.6
2,4,6,55.2
2,5,1,127.7
2,5,3,101.3
2,5,4,63.6
2,5,6,212.0
2,6,1,418.9
2,6,3,298.7
2,6,4,189.8
2,6,5,409.0
3,1,2,108.0
3,1,4,89.4
3,1,5,138.5
3,1,6,350.5
3,2,1,104.1
3,2,4,31.5
3,2,5,85.8
3,2,6,205.7
3,4,1,102.2
3,4,2,37.0
3,4,5,116.8
3,4,6,233.7
3,5,1,226.0
3,5,2,165.9
3,5,4,181.7
3,5,6,701.1
3,6,1,1184.0
3,6,2,673.6
3,6,4,701.1
3,6,5,1321.0
4,1,2,27.3
4,1,3,75.5
4,1,5,90.1
4,1,6,125.8
4,2,1,25.4
4,2,3,16.3
4,2,5,27.0
4,2,6,52.2
4,3,1,80.4
4,3,2,31.2
4,3,5,118.0
4,3,6,181.7
4,5,1,92.1
4,5,2,48.8
4,5,3,127.7
4,5,6,104.1
4,6,1,291.1
4,6,2,118.0
4,6,3,250.7
4,6,5,229.0
5,1,2,296.1
5,1,3,264.2
5,1,4,309.5
5,1,6,429.4
5,2,1,373.4
5,2,3,272.6
5,2,4,143.1
5,2,6,373.4
5,3,1,309.5
5,3,2,399.4
5,3,4,613.5
5,3,6,582.3
5,4,1,281.6
5,4,2,140.2
5,4,3,452.0
5,4,6,186.7
5,6,1,520.5
5,6,2,602.7
5,6,3,904.1
5,6,4,189.8
6,1,2,763.4
6,1,3,1321.0
6,1,4,613.5
6,1,5,1431.0
6,2,1,954.3
6,2,3,602.7
6,2,4,592.3
6,2,5,780.8
6,3,1,1108.0
6,3,2,780.8
6,3,4,563.2
6,3,5,648.2
6,4,1,1145.0
6,4,2,613.5
6,4,3,554.1
6,4,5,270.5
6,5,1,954.3
6,5,2,954.3
6,5,3,1431.0
6,5,4,258.3
