b1,b2,b3,o
1,2,3,13.7
1,2,4,31.5
1,2,5,21.2
1,2,6,185.6
1,3,2,12.8
1,3,4,16.3
1,3,5,10.2
1,3,6,102.1
1,4,2,54.7
1,4,3,46.6
1,4,5,64.3
1,4,6,182.8
1,5,2,36.7
1,5,3,21.2
1,5,4,54.8
1,5,6,342.5
1,6,2,303.9
1,6,3,245.6
1,6,4,279.5
1,6,5,694.8
2,1,3,30.9
2,1,4,79.2
2,1,5,35.3
2,1,6,238.4
2,3,1,38.5
2,3,4,55.1
2,3,5,39.5
2,3,6,357.6
2,4,1,150.1
2,4,3,105.2
2,4,5,151.0
2,4,6,540.4
2,5,1,73.4
2,5,3,60.9
2,5,4,141.3
2,5,6,333.1
2,6,1,736.9
2,6,3,675.5
2,6,4,593.1
2,6,5,694.8
3,1,2,28.9
3,1,4,41.3
3,1,5,16.2
3,1,6,199.3
3,2,1,40.1
3,2,4,58.3
3,2,5,40.9
3,2,6,236.0
3,4,1,89.7
3,4,2,83.2
3,4,5,77.4
3,4,6,245.6
3,5,1,25.6
3,5,2,40.8
3,5,4,61.5
3,5,6,311.7
3,6,1,552.6
3,6,2,506.6
3,6,4,450.3
3,6,5,593.1
4,1,2,182.8
4,1,3,171.2
4,1,5,147.3
4,1,6,540.4
4,2,1,236.0
4,2,3,191.4
4,2,5,250.7
4,2,6,565.5
4,3,1,176.2
4,3,2,191.4
4,3,5,185.6
4,3,6,715.2
4,5,1,209.6
4,5,2,248.1
4,5,3,193.0
4,5,6,434.2
4,6,1,868.5
4,6,2,623.5
4,6,3,1057.0
4,6,5,972.7
5,1,2,94.2
5,1,3,51.5
5,1,4,151.9
5,1,6,517.4
5,2,1,119.7
5,2,3,96.8
5,2,4,199.3
5,2,6,540.4
5,3,1,57.7
5,3,2,100.4
5,3,4,158.9
5,3,6,657.2
5,4,1,227.2
5,4,2,352.4
5,4,3,233.8
5,4,6,935.3
5,6,1,784.4
5,6,2,759.9
5,6,3,972.7
5,6,4,1158.0
6,1,2,386.0
6,1,3,528.6
6,1,4,810.6
6,1,5,1158.0
6,2,1,506.6
6,2,3,607.9
6,2,4,639.9
6,2,5,868.5
6,3,1,736.9
6,3,2,810.6
6,3,4,810.6
6,3,5,1351.0
6,4,1,900.6
6,4,2,868.5
6,4,3,900.6
6,4,5,1737.0
6,5,1,1279.0
6,5,2,1057.0
6,5,3,1105.0
6,5,4,1351.0
