b1,b2,b3,o
1,2,3,11.4
1,2,4,21.2
1,2,5,13.4
1,2,6,169.6
1,3,2,8.9
1,3,4,8.2
1,3,5,4.5
1,3,6,132.8
1,4,2,31.9
1,4,3,18.3
1,4,5,16.7
1,4,6,219.0
1,5,2,19.1
1,5,3,9.0
1,5,4,17.2
1,5,6,179.7
1,6,2,802.7
1,6,3,620.7
1,6,4,831.3
1,6,5,600.7
2,1,3,245.6
2,1,4,318.8
2,1,5,268.3
2,1,6,1034.0
2,3,1,458.6
2,3,4,1082.0
2,3,5,684.6
2,3,6,2165.0
2,4,1,520.1
2,4,3,969.9
2,4,5,1756.0
2,4,6,2738.0
2,5,1,547.7
2,5,3,1034.0
2,5,4,1662.0
2,5,6,3325.0
2,6,1,3103.0
2,6,3,3724.0
2,6,4,3448.0
2,6,5,4900.0
3,1,2,74.7
3,1,4,50.5
3,1,5,31.0
3,1,6,439.2
3,2,1,306.2
3,2,4,492.6
3,2,5,375.4
3,2,6,1432.0
3,4,1,155.1
3,4,2,381.6
3,4,5,182.2
3,4,6,886.8
3,5,1,66.9
3,5,2,261.5
3,5,4,153.6
3,5,6,689.7
3,6,1,1454.0
3,6,2,2069.0
3,6,4,1939.0
3,6,5,1692.0
4,1,2,220.6
4,1,3,174.0
4,1,5,104.5
4,1,6,959.9
4,2,1,612.5
4,2,3,1023.0
4,2,5,969.9
4,2,6,2024.0
4,3,1,302.3
4,3,2,596.8
4,3,5,321.0
4,3,6,1981.0
4,5,1,157.0
4,5,2,425.1
4,5,3,338.5
4,5,6,1275.0
4,6,1,2660.0
4,6,2,2738.0
4,6,3,4048.0
4,6,5,3103.0
5,1,2,130.4
5,1,3,51.3
5,1,4,82.1
5,1,6,467.9
5,2,1,356.7
5,2,3,544.5
5,2,4,744.9
5,2,6,2116.0
5,3,1,111.2
5,3,2,415.6
5,3,4,299.4
5,3,6,1209.0
5,4,1,190.4
5,4,2,596.8
5,4,3,381.6
5,4,6,1454.0
5,6,1,1034.0
5,6,2,1662.0
5,6,3,1389.0
5,6,4,1605.0
6,1,2,1389.0
6,1,3,2821.0
6,1,4,3581.0
6,1,5,2909.0
6,2,1,1981.0
6,2,3,4900.0
6,2,4,5173.0
6,2,5,2586.0
6,3,1,3103.0
6,3,2,6207.0
6,3,4,5173.0
6,3,5,4048.0
6,4,1,3103.0
6,4,2,4232.0
6,4,3,4900.0
6,4,5,3448.0
6,5,1,3581.0
6,5,2,4048.0
6,5,3,2660.0
6,5,4,3103.0
