b1,b2,b3,o
1,2,3,48.9
1,2,4,52.0
1,2,5,23.0
1,2,6,34.4
1,3,2,49.1
1,3,4,34.4
1,3,5,19.1
1,3,6,33.8
1,4,2,62.4
1,4,3,48.8
1,4,5,23.7
1,4,6,31.2
1,5,2,18.9
1,5,3,19.4
1,5,4,19.4
1,5,6,8.2
1,6,2,37.9
1,6,3,48.2
1,6,4,41.5
1,6,5,13.4
2,1,3,286.9
2,1,4,216.4
2,1,5,168.2
2,1,6,235.2
2,3,1,365.8
2,3,4,430.4
2,3,5,358.6
2,3,6,599.7
2,4,1,463.1
2,4,3,515.3
2,4,5,580.7
2,4,6,534.1
2,5,1,234.5
2,5,3,395.5
2,5,4,534.1
2,5,6,290.3
2,6,1,365.8
2,6,3,739.1
2,6,4,530.2
2,6,5,399.8
3,1,2,220.4
3,1,4,177.1
3,1,5,113.8
3,1,6,207.2
3,2,1,312.7
3,2,4,454.5
3,2,5,297.4
3,2,6,542.0
3,4,1,343.5
3,4,2,430.4
3,4,5,364.0
3,4,6,367.7
3,5,1,172.1
3,5,2,303.6
3,5,4,329.6
3,5,6,225.8
3,6,1,320.9
3,6,2,659.2
3,6,4,481.4
3,6,5,373.3
4,1,2,256.7
4,1,3,314.0
4,1,5,79.2
4,1,6,103.3
4,2,1,350.1
4,2,3,710.4
4,2,5,472.0
4,2,6,351.8
4,3,1,364.0
4,3,2,795.3
4,3,5,457.3
4,3,6,427.9
4,5,1,85.7
4,5,2,299.8
4,5,3,316.7
4,5,6,85.4
4,6,1,161.8
4,6,2,373.3
4,6,3,379.1
4,6,5,125.9
5,1,2,61.3
5,1,3,69.6
5,1,4,55.0
5,1,6,21.2
5,2,1,150.2
5,2,3,275.0
5,2,4,369.5
5,2,6,150.8
5,3,1,159.0
5,3,2,254.0
5,3,4,311.3
5,3,6,237.5
5,4,1,111.3
5,4,2,367.7
5,4,3,389.2
5,4,6,112.4
5,6,1,30.6
5,6,2,93.0
5,6,3,101.9
5,6,4,88.3
6,1,2,142.3
6,1,3,258.5
6,1,4,184.7
6,1,5,42.6
6,2,1,248.0
6,2,3,251.4
6,2,4,487.8
6,2,5,238.3
6,3,1,466.0
6,3,2,659.2
6,3,4,530.2
6,3,5,260.4
6,4,1,326.6
6,4,2,641.8
6,4,3,546.0
6,4,5,233.0
6,5,1,49.0
6,5,2,153.4
6,5,3,178.9
6,5,4,156.0
