b1,b2,b3,o
1,2,3,32.9
1,2,4,23.8
1,2,5,188.0
1,2,6,89.9
1,3,2,26.8
1,3,4,5.8
1,3,5,88.4
1,3,6,25.9
1,4,2,12.1
1,4,3,4.2
1,4,5,38.4
1,4,6,9.1
1,5,2,281.1
1,5,3,181.7
1,5,4,165.1
1,5,6,480.7
1,6,2,111.9
1,6,3,69.4
1,6,4,47.9
1,6,5,359.5
2,1,3,201.6
2,1,4,187.2
2,1,5,580.3
2,1,6,556.5
2,3,1,361.1
2,3,4,514.2
2,3,5,1015.0
2,3,6,1097.0
2,4,1,235.5
2,4,3,545.2
2,4,5,1003.0
2,4,6,820.6
2,5,1,1450.0
2,5,3,1249.0
2,5,4,1194.0
2,5,6,1889.0
2,6,1,1041.0
2,6,3,1160.0
2,6,4,1113.0
2,6,5,1934.0
3,1,2,135.8
3,1,4,35.0
3,1,5,249.2
3,1,6,117.2
3,2,1,310.1
3,2,4,423.1
3,2,5,912.9
3,2,6,933.8
3,4,1,48.5
3,4,2,219.5
3,4,5,517.5
3,4,6,159.6
3,5,1,629.8
3,5,2,902.7
3,5,4,912.9
3,5,6,1289.0
3,6,1,296.5
3,6,2,788.8
3,6,4,361.1
3,6,5,1562.0
4,1,2,34.1
4,1,3,15.8
4,1,5,58.8
4,1,6,19.5
4,2,1,131.0
4,2,3,253.9
4,2,5,432.1
4,2,6,311.2
4,3,1,37.0
4,3,2,185.0
4,3,5,285.0
4,3,6,104.4
4,5,1,168.9
4,5,2,377.9
4,5,3,379.6
4,5,6,243.9
4,6,1,48.5
4,6,2,141.7
4,6,3,90.3
4,6,5,159.3
5,1,2,855.2
5,1,3,472.3
5,1,4,410.3
5,1,6,1041.0
5,2,1,1354.0
5,2,3,1249.0
5,2,4,1083.0
5,2,6,1846.0
5,3,1,660.5
5,3,2,1194.0
5,3,4,1015.0
5,3,6,1846.0
5,4,1,568.1
5,4,2,1128.0
5,4,3,1003.0
5,4,6,1310.0
5,6,1,1934.0
5,6,2,1981.0
5,6,3,1981.0
5,6,4,1624.0
6,1,2,414.5
6,1,3,308.9
6,1,4,190.2
6,1,5,812.4
6,2,1,990.8
6,2,3,1160.0
6,2,4,1055.0
6,2,5,1533.0
6,3,1,541.6
6,3,2,1269.0
6,3,4,644.8
6,3,5,1504.0
6,4,1,232.1
6,4,2,796.5
6,4,3,453.9
6,4,5,1041.0
6,5,1,1593.0
6,5,2,2083.0
6,5,3,1846.0
6,5,4,1533.0
