b1,b2,b3,o
1,2,3,14.8
1,2,4,24.2
1,2,5,41.4
1,2,6,22.0
1,3,2,12.1
1,3,4,7.1
1,3,5,18.5
1,3,6,6.3
1,4,2,30.2
1,4,3,15.0
1,4,5,49.8
1,4,6,19.2
1,5,2,66.8
1,5,3,35.6
1,5,4,74.3
1,5,6,40.6
1,6,2,28.5
1,6,3,14.4
1,6,4,25.5
1,6,5,36.1
2,1,3,111.8
2,1,4,187.6
2,1,5,273.1
2,1,6,181.9
2,3,1,203.2
2,3,4,378.9
2,3,5,558.3
2,3,6,419.2
2,4,1,348.9
2,4,3,510.9
2,4,5,646.6
2,4,6,499.7
2,5,1,615.3
2,5,3,743.2
2,5,4,961.7
2,5,6,835.4
2,6,1,391.9
2,6,3,632.3
2,6,4,706.5
2,6,5,961.7
3,1,2,85.0
3,1,4,64.7
3,1,5,98.3
3,1,6,52.9
3,2,1,208.0
3,2,4,378.9
3,2,5,506.4
3,2,6,369.2
3,4,1,150.2
3,4,2,405.8
3,4,5,599.2
3,4,6,244.0
3,5,1,254.9
3,5,2,608.7
3,5,4,773.3
3,5,6,404.4
3,6,1,114.9
3,6,2,377.7
3,6,4,290.4
3,6,5,450.6
4,1,2,309.3
4,1,3,166.1
4,1,5,355.4
4,1,6,185.8
4,2,1,580.9
4,2,3,706.5
4,2,5,880.4
4,2,6,677.2
4,3,1,276.4
4,3,2,894.1
4,3,5,1122.0
4,3,6,459.6
4,5,1,586.9
4,5,2,1192.0
4,5,3,1100.0
4,5,6,569.4
4,6,1,325.1
4,6,2,768.1
4,6,3,510.9
4,6,5,685.3
5,1,2,328.8
5,1,3,197.3
5,1,4,386.6
5,1,6,235.0
5,2,1,702.1
5,2,3,945.8
5,2,4,1040.0
5,2,6,969.9
5,3,1,350.0
5,3,2,953.7
5,3,4,1300.0
5,3,6,908.3
5,4,1,811.7
5,4,2,1567.0
5,4,3,1635.0
5,4,6,923.0
5,6,1,414.6
5,6,2,961.7
5,6,3,738.4
5,6,4,908.3
6,1,2,190.4
6,1,3,80.6
6,1,4,198.7
6,1,5,293.4
6,2,1,471.0
6,2,3,800.3
6,2,4,1285.0
6,2,5,1031.0
6,3,1,146.3
6,3,2,455.9
6,3,4,371.6
6,3,5,915.6
6,4,1,425.4
6,4,2,1031.0
6,4,3,639.4
6,4,5,1244.0
6,5,1,465.2
6,5,2,1144.0
6,5,3,953.7
6,5,4,930.5
