b1,b2,b3,o
1,2,3,28.9
1,2,4,20.8
1,2,5,34.6
1,2,6,236.1
1,3,2,22.0
1,3,4,7.6
1,3,5,11.8
1,3,6,165.1
1,4,2,14.9
1,4,3,7.8
1,4,5,7.2
1,4,6,86.2
1,5,2,31.8
1,5,3,20.5
1,5,4,17.5
1,5,6,162.3
1,6,2,189.7
1,6,3,262.2
1,6,4,267.0
1,6,5,488.1
2,1,3,139.6
2,1,4,165.1
2,1,5,236.1
2,1,6,585.7
2,3,1,230.5
2,3,4,293.8
2,3,5,306.1
2,3,6,744.5
2,4,1,289.9
2,4,3,401.1
2,4,5,392.2
2,4,6,798.7
2,5,1,330.2
2,5,3,380.3
2,5,4,412.4
2,5,6,770.6
2,6,1,1112.0
2,6,3,1464.0
2,6,4,1220.0
2,6,5,1351.0
3,1,2,127.1
3,1,4,43.0
3,1,5,48.7
3,1,6,329.0
3,2,1,288.0
3,2,4,190.9
3,2,5,202.4
3,2,6,744.5
3,4,1,75.8
3,4,2,207.7
3,4,5,80.1
3,4,6,387.0
3,5,1,85.3
3,5,2,173.9
3,5,4,101.5
3,5,6,344.5
3,6,1,806.0
3,6,2,905.7
3,6,4,563.1
3,6,5,686.3
4,1,2,81.5
4,1,3,38.2
4,1,5,32.0
4,1,6,191.8
4,2,1,231.2
4,2,3,399.3
4,2,5,283.4
4,2,6,610.1
4,3,1,76.5
4,3,2,300.8
4,3,5,85.4
4,3,6,437.1
4,5,1,53.0
4,5,2,150.9
4,5,3,91.6
4,5,6,216.3
4,6,1,532.4
4,6,2,777.5
4,6,3,632.0
4,6,5,738.3
5,1,2,144.7
5,1,3,110.2
5,1,4,76.4
5,1,6,364.5
5,2,1,313.7
5,2,3,434.9
5,2,4,388.7
5,2,6,1058.0
5,3,1,163.0
5,3,2,408.6
5,3,4,203.3
5,3,6,828.8
5,4,1,107.4
5,4,2,327.8
5,4,3,184.1
5,4,6,499.1
5,6,1,869.8
5,6,2,1071.0
5,6,3,915.1
5,6,4,905.7
6,1,2,915.1
6,1,3,1112.0
6,1,4,924.8
6,1,5,1237.0
6,2,1,1273.0
6,2,3,1757.0
6,2,4,1514.0
6,2,5,2440.0
6,3,1,1372.0
6,3,2,2043.0
6,3,4,1952.0
6,3,5,1464.0
6,4,1,1033.0
6,4,2,1722.0
6,4,3,1869.0
6,4,5,1541.0
6,5,1,1541.0
6,5,2,2312.0
6,5,3,1331.0
6,5,4,1541.0
