b1,b2,b3,o
1,2,3,7.8
1,2,4,44.3
1,2,5,39.5
1,2,6,117.4
1,3,2,3.5
1,3,4,18.5
1,3,5,6.1
1,3,6,43.8
1,4,2,75.9
1,4,3,67.9
1,4,5,88.0
1,4,6,102.4
1,5,2,44.3
1,5,3,28.2
1,5,4,82.5
1,5,6,116.8
1,6,2,167.0
1,6,3,126.6
1,6,4,216.8
1,6,5,313.1
2,1,3,59.6
2,1,4,203.1
2,1,5,204.9
2,1,6,304.7
2,3,1,82.5
2,3,4,460.1
2,3,5,187.9
2,3,6,593.3
2,4,1,460.1
2,4,3,549.9
2,4,5,663.1
2,4,6,593.3
2,5,1,317.5
2,5,3,227.7
2,5,4,751.6
2,5,6,663.1
2,6,1,901.9
2,6,3,901.9
2,6,4,460.1
2,6,5,1127.0
3,1,2,19.0
3,1,4,36.9
3,1,5,13.1
3,1,6,81.6
3,2,1,51.9
3,2,4,194.3
3,2,5,96.7
3,2,6,433.6
3,4,1,92.7
3,4,2,214.7
3,4,5,125.2
3,4,6,201.3
3,5,1,42.6
3,5,2,78.0
3,5,4,128.1
3,5,6,167.0
3,6,1,304.7
3,6,2,644.2
3,6,4,524.3
3,6,5,425.4
4,1,2,417.5
4,1,3,322.1
4,1,5,341.6
4,1,6,512.4
4,2,1,626.3
4,2,3,1073.0
4,2,5,939.5
4,2,6,683.2
4,3,1,296.6
4,3,2,1024.0
4,3,5,479.7
4,3,6,1024.0
4,5,1,683.2
4,5,2,704.6
4,5,3,563.7
4,5,6,524.3
4,6,1,805.3
4,6,2,683.2
4,6,3,980.3
4,6,5,1326.0
5,1,2,150.3
5,1,3,78.5
5,1,4,425.4
5,1,6,375.8
5,2,1,285.4
5,2,3,214.7
5,2,4,450.9
5,2,6,835.1
5,3,1,102.9
5,3,2,169.5
5,3,4,460.1
5,3,6,663.1
5,4,1,704.6
5,4,2,835.1
5,4,3,578.1
5,4,6,777.5
5,6,1,1024.0
5,6,2,1073.0
5,6,3,751.6
5,6,4,1073.0
6,1,2,644.2
6,1,3,1127.0
6,1,4,835.1
6,1,5,1409.0
6,2,1,1127.0
6,2,3,1186.0
6,2,4,805.3
6,2,5,2049.0
6,3,1,1610.0
6,3,2,1409.0
6,3,4,1503.0
6,3,5,1879.0
6,4,1,1252.0
6,4,2,751.6
6,4,3,1879.0
6,4,5,1879.0
6,5,1,1503.0
6,5,2,1186.0
6,5,3,1326.0
6,5,4,1734.0
