b1,b2,b3,o
1,2,3,56.8
1,2,4,74.1
1,2,5,105.3
1,2,6,188.0
1,3,2,45.8
1,3,4,14.3
1,3,5,18.1
1,3,6,44.0
1,4,2,76.2
1,4,3,29.2
1,4,5,40.0
1,4,6,86.2
1,5,2,140.7
1,5,3,41.6
1,5,4,71.0
1,5,6,129.0
1,6,2,279.6
1,6,3,142.5
1,6,4,174.4
1,6,5,200.1
2,1,3,134.6
2,1,4,247.8
2,1,5,234.5
2,1,6,436.2
2,3,1,191.3
2,3,4,171.7
2,3,5,146.3
2,3,6,298.7
2,4,1,411.5
2,4,3,269.2
2,4,5,311.6
2,4,6,330.4
2,5,1,376.0
2,5,3,215.9
2,5,4,445.1
2,5,6,403.9
2,6,1,807.8
2,6,3,474.1
2,6,4,605.8
2,6,5,872.4
3,1,2,61.7
3,1,4,15.4
3,1,5,16.2
3,1,6,54.2
3,2,1,114.2
3,2,4,88.6
3,2,5,87.9
3,2,6,203.8
3,4,1,17.1
3,4,2,72.9
3,4,5,13.1
3,4,6,24.7
3,5,1,31.0
3,5,2,86.9
3,5,4,21.5
3,5,6,33.7
3,6,1,97.3
3,6,2,177.3
3,6,4,77.9
3,6,5,65.3
4,1,2,183.2
4,1,3,68.1
4,1,5,85.8
4,1,6,138.0
4,2,1,376.0
4,2,3,253.6
4,2,5,389.5
4,2,6,294.7
4,3,1,59.9
4,3,2,63.0
4,3,5,35.3
4,3,6,63.9
4,5,1,122.5
4,5,2,213.8
4,5,3,53.3
4,5,6,89.3
4,6,1,369.6
4,6,2,641.5
4,6,3,138.0
4,6,5,193.0
5,1,2,272.6
5,1,3,102.4
5,1,4,196.5
5,1,6,200.1
5,2,1,279.6
5,2,3,250.7
5,2,4,445.1
5,2,6,484.7
5,3,1,94.4
5,3,2,180.2
5,3,4,76.8
5,3,6,109.6
5,4,1,205.7
5,4,2,298.7
5,4,3,110.1
5,4,6,188.0
5,6,1,259.6
5,6,2,419.4
5,6,3,189.6
5,6,4,283.2
6,1,2,519.3
6,1,3,262.7
6,1,4,545.3
6,1,5,589.5
6,2,1,991.4
6,2,3,727.0
6,2,4,908.8
6,2,5,1211.0
6,3,1,454.4
6,3,2,532.0
6,3,4,276.1
6,3,5,188.0
6,4,1,838.9
6,4,2,838.9
6,4,3,330.4
6,4,5,519.3
6,5,1,660.9
6,5,2,1211.0
6,5,3,298.7
6,5,4,474.1
