b1,b2,b3,o
1,2,3,25.7
1,2,4,7.3
1,2,5,8.6
1,2,6,33.2
1,3,2,48.3
1,3,4,44.5
1,3,5,48.1
1,3,6,90.6
1,4,2,8.7
1,4,3,37.2
1,4,5,8.8
1,4,6,25.5
1,5,2,11.1
1,5,3,40.6
1,5,4,14.2
1,5,6,24.8
1,6,2,84.6
1,6,3,156.1
1,6,4,84.5
1,6,5,70.7
2,1,3,145.4
2,1,4,60.5
2,1,5,57.0
2,1,6,172.5
2,3,1,371.2
2,3,4,606.8
2,3,5,680.1
2,3,6,966.8
2,4,1,154.5
2,4,3,570.7
2,4,5,209.3
2,4,6,434.0
2,5,1,122.5
2,5,3,609.7
2,5,4,244.2
2,5,6,448.3
2,6,1,579.7
2,6,3,1302.0
2,6,4,855.2
2,6,5,702.2
3,1,2,317.9
3,1,4,432.5
3,1,5,404.8
3,1,6,902.8
3,2,1,537.6
3,2,4,906.0
3,2,5,977.8
3,2,6,1447.0
3,4,1,706.0
3,4,2,1049.0
3,4,5,1335.0
3,4,6,1589.0
3,5,1,584.9
3,5,2,970.5
3,5,4,1378.0
3,5,6,1750.0
3,6,1,1812.0
3,6,2,2089.0
3,6,4,2214.0
3,6,5,2089.0
4,1,2,62.9
4,1,3,222.0
4,1,5,50.3
4,1,6,121.2
4,2,1,140.9
4,2,3,568.2
4,2,5,215.4
4,2,6,379.3
4,3,1,599.8
4,3,2,1016.0
4,3,5,989.0
4,3,6,1205.0
4,5,1,70.1
4,5,2,147.5
4,5,3,431.8
4,5,6,129.1
4,6,1,338.2
4,6,2,519.2
4,6,3,970.5
4,6,5,303.7
5,1,2,43.5
5,1,3,147.4
5,1,4,51.6
5,1,6,73.2
5,2,1,94.9
5,2,3,452.2
5,2,4,193.9
5,2,6,260.4
5,3,1,391.4
5,3,2,651.0
5,3,4,804.7
5,3,6,925.4
5,4,1,89.8
5,4,2,183.7
5,4,3,461.9
5,4,6,179.5
5,6,1,160.3
5,6,2,259.1
5,6,3,595.6
5,6,4,248.9
6,1,2,466.0
6,1,3,1053.0
6,1,4,525.6
6,1,5,433.3
6,2,1,727.8
6,2,3,1774.0
6,2,4,1251.0
6,2,5,1239.0
6,3,1,1704.0
6,3,2,2141.0
6,3,4,1978.0
6,3,5,2106.0
6,4,1,932.1
6,4,2,1302.0
6,4,3,1933.0
6,4,5,698.4
6,5,1,422.7
6,5,2,687.3
6,5,3,1289.0
6,5,4,553.6
