b1,b2,b3,o
1,2,3,9.9
1,2,4,4.7
1,2,5,19.0
1,2,6,6.5
1,3,2,31.1
1,3,4,44.1
1,3,5,76.8
1,3,6,49.4
1,4,2,15.3
1,4,3,58.7
1,4,5,65.2
1,4,6,21.8
1,5,2,39.9
1,5,3,69.0
1,5,4,83.0
1,5,6,61.6
1,6,2,20.0
1,6,3,98.9
1,6,4,42.0
1,6,5,84.6
2,1,3,48.2
2,1,4,22.5
2,1,5,55.7
2,1,6,24.2
2,3,1,151.2
2,3,4,202.5
2,3,5,312.0
2,3,6,417.3
2,4,1,76.6
2,4,3,230.9
2,4,5,398.1
2,4,6,115.8
2,5,1,143.1
2,5,3,444.1
2,5,4,427.6
2,5,6,138.0
2,6,1,78.5
2,6,3,541.2
2,6,4,183.2
2,6,5,146.1
3,1,2,174.9
3,1,4,220.6
3,1,5,186.2
3,1,6,303.8
3,2,1,303.8
3,2,4,226.4
3,2,5,293.5
3,2,6,587.1
3,4,1,384.9
3,4,2,357.1
3,4,5,474.5
3,4,6,653.6
3,5,1,260.4
3,5,2,349.9
3,5,4,618.5
3,5,6,1283.0
3,6,1,567.8
3,6,2,866.0
3,6,4,1082.0
3,6,5,1237.0
4,1,2,82.6
4,1,3,291.1
4,1,5,153.2
4,1,6,141.9
4,2,1,128.7
4,2,3,449.8
4,2,5,517.0
4,2,6,240.5
4,3,1,326.8
4,3,2,487.9
4,3,5,653.6
4,3,6,824.7
4,5,1,474.5
4,5,2,692.8
4,5,3,629.8
4,5,6,407.5
4,6,1,346.4
4,6,2,227.9
4,6,3,962.2
4,6,5,372.4
5,1,2,301.2
5,1,3,303.8
5,1,4,567.8
5,1,6,274.9
5,2,1,567.8
5,2,3,407.5
5,2,4,706.9
5,2,6,389.2
5,3,1,346.4
5,3,2,653.6
5,3,4,1237.0
5,3,6,1385.0
5,4,1,787.2
5,4,2,824.7
5,4,3,1082.0
5,4,6,1049.0
5,6,1,427.6
5,6,2,393.6
5,6,3,1049.0
5,6,4,1332.0
6,1,2,120.2
6,1,3,549.8
6,1,4,242.2
6,1,5,438.4
6,2,1,182.3
6,2,3,679.2
6,2,4,427.6
6,2,5,449.8
6,3,1,481.1
6,3,2,936.2
6,3,4,989.7
6,3,5,1443.0
6,4,1,494.8
6,4,2,494.8
6,4,3,1237.0
6,4,5,1823.0
6,5,1,427.6
6,5,2,438.4
6,5,3,1283.0
6,5,4,1574.0
