race_date,venue_code,race_no,window,boat_no,o,o_status,q3t,exhibition_time,deadline_jst,obs_ts_jst,lag_sec,clock_skew_sec,run_id,wx_air_temp,wx_wind_speed,wx_water_temp,wx_wave_height,wx_wind_dir,wx_weather_cd,sha_beforeinfo,sha_oddstf,race_status,sha_odds3t,obs_ts_odds3t,odds3t_status,odds3t_sigma
20260923,01,6,3,1,1.1,ok,0.7038918914519199,6.68,2026-09-23 17:44:00,2026-09-23 17:42:01,118.8,0.155896,173932,18.0,0.0,22.0,0.0,17,3,2c769a202a525e79,227c5250bde483b8,ok,d588f8aff4707ed2,2026-09-23 17:42:21,ok,1.3394
20260923,01,6,3,2,13.7,ok,0.04244877740395062,6.77,2026-09-23 17:44:00,2026-09-23 17:42:01,118.8,0.155896,173932,18.0,0.0,22.0,0.0,17,3,2c769a202a525e79,227c5250bde483b8,ok,d588f8aff4707ed2,2026-09-23 17:42:21,ok,1.3394
20260923,01,6,3,3,6.2,ok,0.12877215895854924,6.77,2026-09-23 17:44:00,2026-09-23 17:42:01,118.8,0.155896,173932,18.0,0.0,22.0,0.0,17,3,2c769a202a525e79,227c5250bde483b8,ok,d588f8aff4707ed2,2026-09-23 17:42:21,ok,1.3394
20260923,01,6,3,4,9.8,ok,0.04198929363023414,6.88,2026-09-23 17:44:00,2026-09-23 17:42:01,118.8,0.155896,173932,18.0,0.0,22.0,0.0,17,3,2c769a202a525e79,227c5250bde483b8,ok,d588f8aff4707ed2,2026-09-23 17:42:21,ok,1.3394
20260923,01,6,3,5,9.8,ok,0.07663158540945507,6.88,2026-09-23 17:44:00,2026-09-23 17:42:01,118.8,0.155896,173932,18.0,0.0,22.0,0.0,17,3,2c769a202a525e79,227c5250bde483b8,ok,d588f8aff4707ed2,2026-09-23 17:42:21,ok,1.3394
20260923,01,6,3,6,19.6,ok,0.0062662931458909235,6.7,2026-09-23 17:44:00,2026-09-23 17:42:01,118.8,0.155896,173932,18.0,0.0,22.0,0.0,17,3,2c769a202a525e79,227c5250bde483b8,ok,d588f8aff4707ed2,2026-09-23 17:42:21,ok,1.3394
20260923,20,7,12,1,7.2,ok,0.35227150933289625,6.83,2026-09-23 17:53:00,2026-09-23 17:42:31,628.5,0.466705,173932,25.0,2.0,28.0,2.0,2,1,4b0153f2cf5ae29b,83b23a6f2b5413c2,ok,d7caafeabeccb2cb,2026-09-23 17:42:50,ok,1.3357
20260923,20,7,12,2,2.0,ok,0.35576639621404393,6.81,2026-09-23 17:53:00,2026-09-23 17:42:31,628.5,0.466705,173932,25.0,2.0,28.0,2.0,2,1,4b0153f2cf5ae29b,83b23a6f2b5413c2,ok,d7caafeabeccb2cb,2026-09-23 17:42:50,ok,1.3357
20260923,20,7,12,3,25.5,ok,0.06179043058221772,6.88,2026-09-23 17:53:00,2026-09-23 17:42:31,628.5,0.466705,173932,25.0,2.0,28.0,2.0,2,1,4b0153f2cf5ae29b,83b23a6f2b5413c2,ok,d7caafeabeccb2cb,2026-09-23 17:42:50,ok,1.3357
20260923,20,7,12,4,2.6,ok,0.17898244246702907,6.8,2026-09-23 17:53:00,2026-09-23 17:42:31,628.5,0.466705,173932,25.0,2.0,28.0,2.0,2,1,4b0153f2cf5ae29b,83b23a6f2b5413c2,ok,d7caafeabeccb2cb,2026-09-23 17:42:50,ok,1.3357
20260923,20,7,12,5,25.5,ok,0.03959604878099198,6.85,2026-09-23 17:53:00,2026-09-23 17:42:31,628.5,0.466705,173932,25.0,2.0,28.0,2.0,2,1,4b0153f2cf5ae29b,83b23a6f2b5413c2,ok,d7caafeabeccb2cb,2026-09-23 17:42:50,ok,1.3357
20260923,20,7,12,6,3.9,ok,0.0115931726228211,6.84,2026-09-23 17:53:00,2026-09-23 17:42:31,628.5,0.466705,173932,25.0,2.0,28.0,2.0,2,1,4b0153f2cf5ae29b,83b23a6f2b5413c2,ok,d7caafeabeccb2cb,2026-09-23 17:42:50,ok,1.3357
20260923,20,7,8,1,2.4,ok,0.3604735712133077,6.83,2026-09-23 17:53:00,2026-09-23 17:45:08,471.8,0.158658,173932,25.0,2.0,28.0,2.0,2,1,7481c7bb69a29cbb,16615269d58dcb2f,ok,a7d7e151b8c2ab14,2026-09-23 17:45:27,ok,1.3359
20260923,20,7,8,2,2.8,ok,0.35457296320549575,6.81,2026-09-23 17:53:00,2026-09-23 17:45:08,471.8,0.158658,173932,25.0,2.0,28.0,2.0,2,1,7481c7bb69a29cbb,16615269d58dcb2f,ok,a7d7e151b8c2ab14,2026-09-23 17:45:27,ok,1.3359
20260923,20,7,8,3,14.2,ok,0.05249474198755894,6.88,2026-09-23 17:53:00,2026-09-23 17:45:08,471.8,0.158658,173932,25.0,2.0,28.0,2.0,2,1,7481c7bb69a29cbb,16615269d58dcb2f,ok,a7d7e151b8c2ab14,2026-09-23 17:45:27,ok,1.3359
20260923,20,7,8,4,3.7,ok,0.18509944905194167,6.8,2026-09-23 17:53:00,2026-09-23 17:45:08,471.8,0.158658,173932,25.0,2.0,28.0,2.0,2,1,7481c7bb69a29cbb,16615269d58dcb2f,ok,a7d7e151b8c2ab14,2026-09-23 17:45:27,ok,1.3359
20260923,20,7,8,5,17.8,ok,0.03845499525649759,6.85,2026-09-23 17:53:00,2026-09-23 17:45:08,471.8,0.158658,173932,25.0,2.0,28.0,2.0,2,1,7481c7bb69a29cbb,16615269d58dcb2f,ok,a7d7e151b8c2ab14,2026-09-23 17:45:27,ok,1.3359
20260923,20,7,8,6,5.4,ok,0.008904279285198298,6.84,2026-09-23 17:53:00,2026-09-23 17:45:08,471.8,0.158658,173932,25.0,2.0,28.0,2.0,2,1,7481c7bb69a29cbb,16615269d58dcb2f,ok,a7d7e151b8c2ab14,2026-09-23 17:45:27,ok,1.3359
