race_date,venue_code,race_no,window,boat_no,o,o_status,q3t,exhibition_time,deadline_jst,obs_ts_jst,lag_sec,clock_skew_sec,run_id,wx_air_temp,wx_wind_speed,wx_water_temp,wx_wave_height,wx_wind_dir,wx_weather_cd,sha_beforeinfo,sha_oddstf,race_status,sha_odds3t,obs_ts_odds3t,odds3t_status,odds3t_sigma
20260923,12,4,12,1,1.0,ok,0.4988453142031544,6.9,2026-09-23 16:32:00,2026-09-23 16:21:49,610.3,0.666632,161923,29.0,3.0,25.0,1.0,5,2,fc144bba3b4082ed,9f17c58f566ab84c,ok,9efae38b2c7a1094,2026-09-23 16:22:08,ok,1.3353
20260923,12,4,12,2,22.5,ok,0.1549189674872398,6.89,2026-09-23 16:32:00,2026-09-23 16:21:49,610.3,0.666632,161923,29.0,3.0,25.0,1.0,5,2,fc144bba3b4082ed,9f17c58f566ab84c,ok,9efae38b2c7a1094,2026-09-23 16:22:08,ok,1.3353
20260923,12,4,12,3,,zero_pool,0.08993598805134995,6.89,2026-09-23 16:32:00,2026-09-23 16:21:49,610.3,0.666632,161923,29.0,3.0,25.0,1.0,5,2,fc144bba3b4082ed,9f17c58f566ab84c,ok,9efae38b2c7a1094,2026-09-23 16:22:08,ok,1.3353
20260923,12,4,12,4,11.2,ok,0.10861167107456278,6.88,2026-09-23 16:32:00,2026-09-23 16:21:49,610.3,0.666632,161923,29.0,3.0,25.0,1.0,5,2,fc144bba3b4082ed,9f17c58f566ab84c,ok,9efae38b2c7a1094,2026-09-23 16:22:08,ok,1.3353
20260923,12,4,12,5,,zero_pool,0.06285803603980378,7.02,2026-09-23 16:32:00,2026-09-23 16:21:49,610.3,0.666632,161923,29.0,3.0,25.0,1.0,5,2,fc144bba3b4082ed,9f17c58f566ab84c,ok,9efae38b2c7a1094,2026-09-23 16:22:08,ok,1.3353
20260923,12,4,12,6,,zero_pool,0.08483002314388932,6.9,2026-09-23 16:32:00,2026-09-23 16:21:49,610.3,0.666632,161923,29.0,3.0,25.0,1.0,5,2,fc144bba3b4082ed,9f17c58f566ab84c,ok,9efae38b2c7a1094,2026-09-23 16:22:08,ok,1.3353
20260923,20,4,5,1,1.0,ok,0.5522433621303056,6.81,2026-09-23 16:25:00,2026-09-23 16:22:17,162.0,0.986067,161923,25.0,2.0,28.0,2.0,2,1,9e6e4637c50cf497,a4f7c1f88ba51731,ok,d1a3280676bc49f7,2026-09-23 16:22:38,ok,1.3362
20260923,20,4,5,2,17.4,ok,0.057468997053008924,6.82,2026-09-23 16:25:00,2026-09-23 16:22:17,162.0,0.986067,161923,25.0,2.0,28.0,2.0,2,1,9e6e4637c50cf497,a4f7c1f88ba51731,ok,d1a3280676bc49f7,2026-09-23 16:22:38,ok,1.3362
20260923,20,4,5,3,9.5,ok,0.3005614284143109,6.8,2026-09-23 16:25:00,2026-09-23 16:22:17,162.0,0.986067,161923,25.0,2.0,28.0,2.0,2,1,9e6e4637c50cf497,a4f7c1f88ba51731,ok,d1a3280676bc49f7,2026-09-23 16:22:38,ok,1.3362
20260923,20,4,5,4,42.3,ok,0.05727710673525285,6.89,2026-09-23 16:25:00,2026-09-23 16:22:17,162.0,0.986067,161923,25.0,2.0,28.0,2.0,2,1,9e6e4637c50cf497,a4f7c1f88ba51731,ok,d1a3280676bc49f7,2026-09-23 16:22:38,ok,1.3362
20260923,20,4,5,5,37.0,ok,0.021215963457121158,6.96,2026-09-23 16:25:00,2026-09-23 16:22:17,162.0,0.986067,161923,25.0,2.0,28.0,2.0,2,1,9e6e4637c50cf497,a4f7c1f88ba51731,ok,d1a3280676bc49f7,2026-09-23 16:22:38,ok,1.3362
20260923,20,4,5,6,26.9,ok,0.011233142210000595,6.8,2026-09-23 16:25:00,2026-09-23 16:22:17,162.0,0.986067,161923,25.0,2.0,28.0,2.0,2,1,9e6e4637c50cf497,a4f7c1f88ba51731,ok,d1a3280676bc49f7,2026-09-23 16:22:38,ok,1.3362
20260923,03,12,5,1,1.1,ok,0.6163302642383828,6.66,2026-09-23 16:26:00,2026-09-23 16:22:48,191.8,0.213027,161923,19.0,1.0,25.0,5.0,12,3,935cd7b70cfcf628,8d0d84082cd9bce7,ok,83e340b16b9b3984,2026-09-23 16:23:08,ok,1.3364
20260923,03,12,5,2,5.0,ok,0.07736708933973532,6.72,2026-09-23 16:26:00,2026-09-23 16:22:48,191.8,0.213027,161923,19.0,1.0,25.0,5.0,12,3,935cd7b70cfcf628,8d0d84082cd9bce7,ok,83e340b16b9b3984,2026-09-23 16:23:08,ok,1.3364
20260923,03,12,5,3,10.1,ok,0.14784784541438317,6.7,2026-09-23 16:26:00,2026-09-23 16:22:48,191.8,0.213027,161923,19.0,1.0,25.0,5.0,12,3,935cd7b70cfcf628,8d0d84082cd9bce7,ok,83e340b16b9b3984,2026-09-23 16:23:08,ok,1.3364
20260923,03,12,5,4,24.5,ok,0.0955521398891178,6.7,2026-09-23 16:26:00,2026-09-23 16:22:48,191.8,0.213027,161923,19.0,1.0,25.0,5.0,12,3,935cd7b70cfcf628,8d0d84082cd9bce7,ok,83e340b16b9b3984,2026-09-23 16:23:08,ok,1.3364
20260923,03,12,5,5,15.6,ok,0.04491225523241091,6.63,2026-09-23 16:26:00,2026-09-23 16:22:48,191.8,0.213027,161923,19.0,1.0,25.0,5.0,12,3,935cd7b70cfcf628,8d0d84082cd9bce7,ok,83e340b16b9b3984,2026-09-23 16:23:08,ok,1.3364
20260923,03,12,5,6,21.4,ok,0.017990405885969864,6.79,2026-09-23 16:26:00,2026-09-23 16:22:48,191.8,0.213027,161923,19.0,1.0,25.0,5.0,12,3,935cd7b70cfcf628,8d0d84082cd9bce7,ok,83e340b16b9b3984,2026-09-23 16:23:08,ok,1.3364
20260923,06,11,8,1,1.0,ok,0.6927261240514105,6.65,2026-09-23 16:30:00,2026-09-23 16:23:18,401.5,0.537813,161923,26.0,3.0,27.0,2.0,9,1,28714256cfddda24,0049792e6df83fe3,ok,8fc43179d3a0f635,2026-09-23 16:23:39,ok,1.3358
20260923,06,11,8,2,48.0,ok,0.03730692559523982,6.71,2026-09-23 16:30:00,2026-09-23 16:23:18,401.5,0.537813,161923,26.0,3.0,27.0,2.0,9,1,28714256cfddda24,0049792e6df83fe3,ok,8fc43179d3a0f635,2026-09-23 16:23:39,ok,1.3358
20260923,06,11,8,3,48.0,ok,0.12865710714355424,6.68,2026-09-23 16:30:00,2026-09-23 16:23:18,401.5,0.537813,161923,26.0,3.0,27.0,2.0,9,1,28714256cfddda24,0049792e6df83fe3,ok,8fc43179d3a0f635,2026-09-23 16:23:39,ok,1.3358
