b1,b2,b3,o
1,2,3,10.5
1,2,4,9.6
1,2,5,29.5
1,2,6,62.6
1,3,2,13.7
1,3,4,10.5
1,3,5,21.3
1,3,6,64.7
1,4,2,12.2
1,4,3,14.5
1,4,5,30.9
1,4,6,39.7
1,5,2,50.3
1,5,3,46.1
1,5,4,65.1
1,5,6,125.2
1,6,2,145.2
1,6,3,170.8
1,6,4,190.1
1,6,5,268.2
2,1,3,51.9
2,1,4,31.8
2,1,5,88.6
2,1,6,196.0
2,3,1,122.4
2,3,4,134.1
2,3,5,231.3
2,3,6,420.4
2,4,1,64.8
2,4,3,136.2
2,4,5,184.5
2,4,6,260.2
2,5,1,276.7
2,5,3,361.3
2,5,4,352.6
2,5,6,633.7
2,6,1,874.5
2,6,3,930.3
2,6,4,533.2
2,6,5,694.1
3,1,2,33.8
3,1,4,26.2
3,1,5,55.2
3,1,6,168.8
3,2,1,105.8
3,2,4,113.5
3,2,5,182.9
3,2,6,376.9
3,4,1,63.2
3,4,2,121.4
3,4,5,141.0
3,4,6,287.6
3,5,1,114.7
3,5,2,241.5
3,5,4,228.9
3,5,6,526.8
3,6,1,633.7
3,6,2,728.8
3,6,4,553.5
3,6,5,705.3
4,1,2,38.7
4,1,3,63.7
4,1,5,72.6
4,1,6,115.6
4,2,1,73.6
4,2,3,136.2
4,2,5,151.3
4,2,6,186.8
4,3,1,100.5
4,3,2,214.3
4,3,5,227.7
4,3,6,370.5
4,5,1,144.3
4,5,2,214.3
4,5,3,289.5
4,5,6,244.2
4,6,1,347.0
4,6,2,376.9
4,6,3,533.2
4,6,5,437.2
5,1,2,156.7
5,1,3,62.6
5,1,4,149.2
5,1,6,282.1
5,2,1,240.2
5,2,3,283.9
5,2,4,226.5
5,2,6,491.3
5,3,1,226.5
5,3,2,271.6
5,3,4,301.5
5,3,6,607.3
5,4,1,207.2
5,4,2,257.2
5,4,3,331.2
5,4,6,428.7
5,6,1,465.1
5,6,2,460.3
5,6,3,672.7
5,6,4,520.5
6,1,2,950.6
6,1,3,1366.0
6,1,4,993.8
6,1,5,1150.0
6,2,1,1619.0
6,2,3,1093.0
6,2,4,1150.0
6,2,5,1561.0
6,3,1,1507.0
6,3,2,1507.0
6,3,4,1181.0
6,3,5,1681.0
6,4,1,1093.0
6,4,2,1093.0
6,4,3,1181.0
6,4,5,1066.0
6,5,1,1093.0
6,5,2,1822.0
6,5,3,1619.0
6,5,4,1410.0
