b1,b2,b3,o
1,2,3,28.1
1,2,4,7.0
1,2,5,52.9
1,2,6,79.4
1,3,2,53.0
1,3,4,27.5
1,3,5,104.5
1,3,6,162.1
1,4,2,5.1
1,4,3,13.1
1,4,5,12.2
1,4,6,28.7
1,5,2,97.8
1,5,3,173.1
1,5,4,69.9
1,5,6,294.1
1,6,2,236.4
1,6,3,302.8
1,6,4,147.0
1,6,5,508.0
2,1,3,113.2
2,1,4,25.5
2,1,5,132.7
2,1,6,162.6
2,3,1,328.7
2,3,4,262.6
2,3,5,548.8
2,3,6,1024.0
2,4,1,31.2
2,4,3,143.6
2,4,5,118.8
2,4,6,171.2
2,5,1,351.2
2,5,3,698.5
2,5,4,386.5
2,5,6,1229.0
2,6,1,591.0
2,6,3,1499.0
2,6,4,516.5
2,6,5,1707.0
3,1,2,236.4
3,1,4,117.9
3,1,5,318.4
3,1,6,553.7
3,2,1,574.4
3,2,4,269.5
3,2,5,660.9
3,2,6,1617.0
3,4,1,146.3
3,4,2,259.3
3,4,5,591.0
3,4,6,574.4
3,5,1,931.3
3,5,2,842.0
3,5,4,991.4
3,5,6,2794.0
3,6,1,960.4
3,6,2,2364.0
3,6,4,1365.0
3,6,5,2927.0
4,1,2,9.9
4,1,3,30.4
4,1,5,19.8
4,1,6,42.3
4,2,1,22.3
4,2,3,90.6
4,2,5,65.8
4,2,6,119.3
4,3,1,85.2
4,3,2,160.4
4,3,5,217.9
4,3,6,343.3
4,5,1,37.9
4,5,2,62.1
4,5,3,171.2
4,5,6,125.1
4,6,1,133.3
4,6,2,187.9
4,6,3,384.1
4,6,5,278.1
5,1,2,448.6
5,1,3,706.5
5,1,4,242.9
5,1,6,1097.0
5,2,1,569.1
5,2,3,945.6
5,2,4,458.7
5,2,6,1117.0
5,3,1,1159.0
5,3,2,865.7
5,3,4,1862.0
5,3,6,2672.0
5,4,1,251.9
5,4,2,409.7
5,4,3,1463.0
5,4,6,1117.0
5,6,1,1756.0
5,6,2,2364.0
5,6,3,3615.0
5,6,4,2119.0
6,1,2,579.8
6,1,3,865.7
6,1,4,469.2
6,1,5,1463.0
6,2,1,758.8
6,2,3,1336.0
6,2,4,627.2
6,2,5,2195.0
6,3,1,1617.0
6,3,2,2195.0
6,3,4,1159.0
6,3,5,2794.0
6,4,1,495.7
6,4,2,563.9
6,4,3,1007.0
6,4,5,1117.0
6,5,1,2119.0
6,5,2,2119.0
6,5,3,2364.0
6,5,4,1982.0
