b1,b2,b3,o
1,2,3,9.8
1,2,4,8.1
1,2,5,21.9
1,2,6,48.7
1,3,2,12.5
1,3,4,16.9
1,3,5,36.7
1,3,6,62.6
1,4,2,14.1
1,4,3,22.6
1,4,5,32.4
1,4,6,58.1
1,5,2,52.1
1,5,3,73.9
1,5,4,64.7
1,5,6,151.9
1,6,2,71.7
1,6,3,148.4
1,6,4,107.8
1,6,5,268.0
2,1,3,34.5
2,1,4,30.0
2,1,5,81.0
2,1,6,135.9
2,3,1,55.4
2,3,4,99.4
2,3,5,149.6
2,3,6,207.5
2,4,1,63.9
2,4,3,110.2
2,4,5,113.5
2,4,6,257.3
2,5,1,205.3
2,5,3,216.8
2,5,4,296.9
2,5,6,316.4
2,6,1,338.6
2,6,3,271.8
2,6,4,327.1
2,6,5,494.8
3,1,2,52.7
3,1,4,44.9
3,1,5,74.5
3,1,6,131.2
3,2,1,67.2
3,2,4,67.4
3,2,5,149.6
3,2,6,194.9
3,4,1,79.7
3,4,2,92.7
3,4,5,134.0
3,4,6,138.8
3,5,1,159.5
3,5,2,166.3
3,5,4,193.0
3,5,6,264.3
3,6,1,247.4
3,6,2,338.6
3,6,4,214.4
3,6,5,364.1
4,1,2,46.6
4,1,3,85.0
4,1,5,78.7
4,1,6,132.1
4,2,1,71.7
4,2,3,148.4
4,2,5,146.2
4,2,6,203.1
4,3,1,135.9
4,3,2,140.8
4,3,5,196.9
4,3,6,247.4
4,5,1,136.8
4,5,2,182.0
4,5,3,221.8
4,5,6,219.3
4,6,1,219.3
4,6,2,288.0
4,6,3,316.4
4,6,5,227.0
5,1,2,156.9
5,1,3,164.9
5,1,4,227.0
5,1,6,292.4
5,2,1,227.0
5,2,3,260.8
5,2,4,224.4
5,2,6,459.5
5,3,1,253.9
5,3,2,247.4
5,3,4,378.4
5,3,6,567.6
5,4,1,288.0
5,4,2,393.8
5,4,3,410.6
5,4,6,350.9
5,6,1,410.6
5,6,2,772.0
5,6,3,689.3
5,6,4,482.5
6,1,2,386.0
6,1,3,507.9
6,1,4,714.8
6,1,5,742.3
6,2,1,772.0
6,2,3,386.0
6,2,4,603.1
6,2,5,839.1
6,3,1,551.4
6,3,2,482.5
6,3,4,567.6
6,3,5,551.4
6,4,1,551.4
6,4,2,772.0
6,4,3,919.0
6,4,5,665.5
6,5,1,839.1
6,5,2,919.0
6,5,3,665.5
6,5,4,551.4
