b1,b2,b3,o
1,2,3,12.2
1,2,4,86.6
1,2,5,12.2
1,2,6,36.6
1,3,2,13.3
1,3,4,72.4
1,3,5,7.3
1,3,6,24.3
1,4,2,180.9
1,4,3,194.5
1,4,5,155.8
1,4,6,247.9
1,5,2,16.5
1,5,3,10.6
1,5,4,97.3
1,5,6,17.6
1,6,2,91.2
1,6,3,77.7
1,6,4,288.0
1,6,5,50.8
2,1,3,31.2
2,1,4,175.1
2,1,5,33.4
2,1,6,96.7
2,3,1,50.6
2,3,4,338.5
2,3,5,46.0
2,3,6,112.8
2,4,1,484.4
2,4,3,714.7
2,4,5,576.0
2,4,6,793.0
2,5,1,61.2
2,5,3,62.8
2,5,4,494.8
2,5,6,117.0
2,6,1,281.7
2,6,3,298.4
2,6,4,1412.0
2,6,5,260.7
3,1,2,48.6
3,1,4,213.6
3,1,5,28.3
3,1,6,86.6
3,2,1,72.2
3,2,4,377.1
3,2,5,77.2
3,2,6,197.5
3,4,1,619.1
3,4,2,832.9
3,4,5,851.3
3,4,6,1193.0
3,5,1,46.0
3,5,2,83.5
3,5,4,496.9
3,5,6,103.3
3,6,1,240.7
3,6,2,366.4
3,6,4,1315.0
3,6,5,223.0
4,1,2,554.0
4,1,3,771.9
4,1,5,787.6
4,1,6,809.6
4,2,1,864.0
4,2,3,1523.0
4,2,5,1346.0
4,2,6,1346.0
4,3,1,1072.0
4,3,2,1503.0
4,3,5,1218.0
4,3,6,1867.0
4,5,1,918.9
4,5,2,1608.0
4,5,3,1503.0
4,5,6,956.9
4,6,1,1330.0
4,6,2,2031.0
4,6,3,3859.0
4,6,5,1702.0
5,1,2,49.8
5,1,3,34.8
5,1,4,242.7
5,1,6,47.8
5,2,1,88.3
5,2,3,117.3
5,2,4,501.2
5,2,6,169.7
5,3,1,60.8
5,3,2,117.3
5,3,4,697.5
5,3,6,140.1
5,4,1,771.9
5,4,2,1043.0
5,4,3,1157.0
5,4,6,911.7
5,6,1,83.8
5,6,2,182.9
5,6,3,151.7
5,6,4,510.0
6,1,2,510.0
6,1,3,331.7
6,1,4,1169.0
6,1,5,200.6
6,2,1,693.3
6,2,3,747.0
6,2,4,1898.0
6,2,5,681.0
6,3,1,533.5
6,3,2,890.6
6,3,4,1543.0
6,3,5,567.5
6,4,1,1586.0
6,4,2,2315.0
6,4,3,2184.0
6,4,5,1702.0
6,5,1,216.4
6,5,2,482.4
6,5,3,425.6
6,5,4,1092.0
