b1,b2,b3,o
1,2,3,4.2
1,2,4,8.3
1,2,5,6.6
1,2,6,107.2
1,3,2,10.6
1,3,4,24.4
1,3,5,15.3
1,3,6,125.6
1,4,2,17.7
1,4,3,35.4
1,4,5,25.0
1,4,6,162.5
1,5,2,12.0
1,5,3,19.8
1,5,4,30.6
1,5,6,111.9
1,6,2,252.9
1,6,3,386.5
1,6,4,476.4
1,6,5,393.9
2,1,3,36.0
2,1,4,53.4
2,1,5,45.1
2,1,6,341.4
2,3,1,106.1
2,3,4,325.1
2,3,5,235.4
2,3,6,1078.0
2,4,1,158.8
2,4,3,476.4
2,4,5,310.3
2,4,6,1280.0
2,5,1,150.6
2,5,3,320.0
2,5,4,359.4
2,5,6,975.5
2,6,1,1575.0
2,6,3,1365.0
2,6,4,1575.0
2,6,5,1280.0
3,1,2,81.9
3,1,4,161.3
3,1,5,115.0
3,1,6,706.4
3,2,1,157.5
3,2,4,445.3
3,2,5,445.3
3,2,6,931.1
3,4,1,409.7
3,4,2,731.6
3,4,5,1463.0
3,4,6,2276.0
3,5,1,241.0
3,5,2,435.8
3,5,4,890.7
3,5,6,2276.0
3,6,1,1078.0
3,6,2,1575.0
3,6,4,1280.0
3,6,5,2560.0
4,1,2,132.1
4,1,3,273.1
4,1,5,162.5
4,1,6,569.0
4,2,1,186.2
4,2,3,585.3
4,2,5,341.4
4,2,6,2048.0
4,3,1,409.7
4,3,2,706.4
4,3,5,853.5
4,3,6,1707.0
4,5,1,266.0
4,5,2,487.7
4,5,3,975.5
4,5,6,931.1
4,6,1,1575.0
4,6,2,2048.0
4,6,3,2560.0
4,6,5,2560.0
5,1,2,75.5
5,1,3,151.7
5,1,4,166.5
5,1,6,418.0
5,2,1,134.7
5,2,3,305.7
5,2,4,320.0
5,2,6,853.5
5,3,1,296.9
5,3,2,284.5
5,3,4,975.5
5,3,6,1024.0
5,4,1,301.2
5,4,2,476.4
5,4,3,1138.0
5,4,6,731.6
5,6,1,1024.0
5,6,2,1862.0
5,6,3,1365.0
5,6,4,1707.0
6,1,2,1463.0
6,1,3,2276.0
6,1,4,2560.0
6,1,5,1575.0
6,2,1,1707.0
6,2,3,1575.0
6,2,4,4097.0
6,2,5,4097.0
6,3,1,2560.0
6,3,2,2276.0
6,3,4,1280.0
6,3,5,2926.0
6,4,1,2560.0
6,4,2,2276.0
6,4,3,4097.0
6,4,5,2926.0
6,5,1,1365.0
6,5,2,3414.0
6,5,3,2926.0
6,5,4,2560.0
