b1,b2,b3,o
1,2,3,15.3
1,2,4,28.9
1,2,5,178.5
1,2,6,20.5
1,3,2,18.0
1,3,4,29.4
1,3,5,141.6
1,3,6,14.7
1,4,2,48.3
1,4,3,60.7
1,4,5,492.9
1,4,6,50.5
1,5,2,205.3
1,5,3,176.0
1,5,4,232.5
1,5,6,385.1
1,6,2,30.2
1,6,3,22.0
1,6,4,54.7
1,6,5,362.4
2,1,3,38.8
2,1,4,54.2
2,1,5,300.5
2,1,6,37.3
2,3,1,50.9
2,3,4,119.6
2,3,5,342.3
2,3,6,50.5
2,4,1,123.2
2,4,3,155.9
2,4,5,560.1
2,4,6,111.0
2,5,1,251.4
2,5,3,473.9
2,5,4,648.5
2,5,6,397.5
2,6,1,71.2
2,6,3,63.1
2,6,4,123.2
2,6,5,492.9
3,1,2,32.1
3,1,4,48.1
3,1,5,150.2
3,1,6,20.6
3,2,1,45.8
3,2,4,97.0
3,2,5,324.2
3,2,6,39.4
3,4,1,82.7
3,4,2,102.6
3,4,5,821.5
3,4,6,68.8
3,5,1,286.5
3,5,2,385.1
3,5,4,456.4
3,5,6,473.9
3,6,1,33.0
3,6,2,35.3
3,6,4,74.2
3,6,5,342.3
4,1,2,119.6
4,1,3,111.0
4,1,5,324.2
4,1,6,101.0
4,2,1,236.9
4,2,3,280.0
4,2,5,684.6
4,2,6,236.9
4,3,1,124.4
4,3,2,155.9
4,3,5,648.5
4,3,6,162.1
4,5,1,424.9
4,5,2,724.8
4,5,3,724.8
4,5,6,947.9
4,6,1,123.2
4,6,2,122.0
4,6,3,140.0
4,6,5,535.7
5,1,2,648.5
5,1,3,560.1
5,1,4,616.1
5,1,6,724.8
5,2,1,473.9
5,2,3,880.2
5,2,4,513.4
5,2,6,1120.0
5,3,1,456.4
5,3,2,373.4
5,3,4,1026.0
5,3,6,821.5
5,4,1,1369.0
5,4,2,586.8
5,4,3,1232.0
5,4,6,1120.0
5,6,1,770.2
5,6,2,947.9
5,6,3,1120.0
5,6,4,1760.0
6,1,2,41.7
6,1,3,29.5
6,1,4,120.8
6,1,5,397.5
6,2,1,51.3
6,2,3,36.7
6,2,4,96.2
6,2,5,424.9
6,3,1,32.4
6,3,2,35.8
6,3,4,116.2
6,3,5,286.5
6,4,1,178.5
6,4,2,192.5
6,4,3,173.5
6,4,5,648.5
6,5,1,535.7
6,5,2,947.9
6,5,3,456.4
6,5,4,648.5
