b1,b2,b3,o
1,2,3,17.3
1,2,4,14.9
1,2,5,80.4
1,2,6,52.4
1,3,2,13.7
1,3,4,6.0
1,3,5,54.0
1,3,6,24.8
1,4,2,13.6
1,4,3,7.8
1,4,5,45.4
1,4,6,18.8
1,5,2,174.1
1,5,3,175.4
1,5,4,177.4
1,5,6,211.8
1,6,2,123.9
1,6,3,86.9
1,6,4,82.2
1,6,5,229.7
2,1,3,59.9
2,1,4,53.7
2,1,5,230.2
2,1,6,185.6
2,3,1,134.9
2,3,4,117.1
2,3,5,347.8
2,3,6,417.9
2,4,1,106.0
2,4,3,129.8
2,4,5,412.4
2,4,6,286.3
2,5,1,563.5
2,5,3,783.3
2,5,4,936.4
2,5,6,1004.0
2,6,1,648.6
2,6,3,858.9
2,6,4,858.9
2,6,5,1399.0
3,1,2,58.4
3,1,4,26.8
3,1,5,136.5
3,1,6,68.6
3,2,1,147.3
3,2,4,129.4
3,2,5,407.0
3,2,6,287.6
3,4,1,38.6
3,4,2,83.7
3,4,5,175.6
3,4,6,75.8
3,5,1,417.9
3,5,2,622.7
3,5,4,546.2
3,5,6,551.0
3,6,1,247.1
3,6,2,469.9
3,6,4,234.5
3,6,5,625.8
4,1,2,38.9
4,1,3,24.8
4,1,5,73.3
4,1,6,39.9
4,2,1,93.8
4,2,3,129.0
4,2,5,295.8
4,2,6,164.3
4,3,1,41.5
4,3,2,90.3
4,3,5,165.8
4,3,6,72.0
4,5,1,147.5
4,5,2,299.3
4,5,3,303.0
4,5,6,171.3
4,6,1,99.2
4,6,2,212.8
4,6,3,149.6
4,6,5,204.1
5,1,2,563.5
5,1,3,556.0
5,1,4,691.9
5,1,6,808.7
5,2,1,1055.0
5,2,3,1064.0
5,2,4,1037.0
5,2,6,1112.0
5,3,1,754.8
5,3,2,915.7
5,3,4,1221.0
5,3,6,1368.0
5,4,1,673.2
5,4,2,768.8
5,4,3,841.5
5,4,6,719.9
5,6,1,1339.0
5,6,2,1353.0
5,6,3,1831.0
5,6,4,1537.0
6,1,2,793.2
6,1,3,571.3
6,1,4,449.6
6,1,5,1353.0
6,2,1,1233.0
6,2,3,1399.0
6,2,4,1500.0
6,2,5,2541.0
6,3,1,783.3
6,3,2,2041.0
6,3,4,629.0
6,3,5,1617.0
6,4,1,448.0
6,4,2,902.5
6,4,3,558.5
6,4,5,1233.0
6,5,1,1805.0
6,5,2,2767.0
6,5,3,3113.0
6,5,4,1887.0
