b1,b2,b3,o
1,2,3,37.9
1,2,4,15.5
1,2,5,47.0
1,2,6,68.9
1,3,2,32.9
1,3,4,10.0
1,3,5,10.5
1,3,6,13.5
1,4,2,25.7
1,4,3,15.0
1,4,5,24.5
1,4,6,25.5
1,5,2,71.3
1,5,3,19.5
1,5,4,34.4
1,5,6,58.8
1,6,2,65.9
1,6,3,41.8
1,6,4,73.9
1,6,5,91.8
2,1,3,134.7
2,1,4,202.1
2,1,5,134.7
2,1,6,195.6
2,3,1,288.8
2,3,4,195.6
2,3,5,224.6
2,3,6,466.5
2,4,1,433.2
2,4,3,303.2
2,4,5,404.3
2,4,6,673.9
2,5,1,319.2
2,5,3,263.7
2,5,4,379.0
2,5,6,466.5
2,6,1,606.5
2,6,3,336.9
2,6,4,356.7
2,6,5,404.3
3,1,2,70.5
3,1,4,36.7
3,1,5,45.2
3,1,6,56.6
3,2,1,189.5
3,2,4,114.4
3,2,5,123.7
3,2,6,183.7
3,4,1,75.8
3,4,2,104.5
3,4,5,141.0
3,4,6,74.8
3,5,1,106.4
3,5,2,173.2
3,5,4,163.9
3,5,6,336.9
3,6,1,209.1
3,6,2,178.3
3,6,4,404.3
3,6,5,336.9
4,1,2,104.5
4,1,3,69.7
4,1,5,102.8
4,1,6,53.2
4,2,1,224.6
4,2,3,379.0
4,2,5,263.7
4,2,6,505.4
4,3,1,104.5
4,3,2,275.6
4,3,5,178.3
4,3,6,242.6
4,5,1,216.6
4,5,2,466.5
4,5,3,288.8
4,5,6,209.1
4,6,1,319.2
4,6,2,178.3
4,6,3,189.5
4,6,5,466.5
5,1,2,86.6
5,1,3,64.5
5,1,4,77.7
5,1,6,73.0
5,2,1,263.7
5,2,3,173.2
5,2,4,118.9
5,2,6,263.7
5,3,1,173.2
5,3,2,112.3
5,3,4,288.8
5,3,6,379.0
5,4,1,209.1
5,4,2,319.2
5,4,3,319.2
5,4,6,319.2
5,6,1,404.3
5,6,2,758.1
5,6,3,404.3
5,6,4,866.4
6,1,2,233.2
6,1,3,263.7
6,1,4,303.2
6,1,5,319.2
6,2,1,379.0
6,2,3,233.2
6,2,4,551.3
6,2,5,1213.0
6,3,1,319.2
6,3,2,288.8
6,3,4,319.2
6,3,5,1010.0
6,4,1,216.6
6,4,2,551.3
6,4,3,1010.0
6,4,5,2021.0
6,5,1,433.2
6,5,2,1213.0
6,5,3,1010.0
6,5,4,1010.0
