b1,b2,b3,o
1,2,3,31.4
1,2,4,35.5
1,2,5,66.3
1,2,6,87.4
1,3,2,18.7
1,3,4,5.6
1,3,5,7.4
1,3,6,12.8
1,4,2,26.8
1,4,3,10.8
1,4,5,19.5
1,4,6,22.2
1,5,2,70.8
1,5,3,19.8
1,5,4,34.5
1,5,6,47.1
1,6,2,133.4
1,6,3,54.1
1,6,4,79.5
1,6,5,90.6
2,1,3,320.9
2,1,4,436.5
2,1,5,429.6
2,1,6,574.3
2,3,1,727.5
2,3,4,514.7
2,3,5,880.0
2,3,6,1091.0
2,4,1,866.0
2,4,3,562.5
2,4,5,1558.0
2,4,6,1113.0
2,5,1,737.3
2,5,3,779.4
2,5,4,957.2
2,5,6,1029.0
2,6,1,1558.0
2,6,3,1818.0
2,6,4,1364.0
2,6,5,1760.0
3,1,2,97.6
3,1,4,23.3
3,1,5,30.4
3,1,6,38.8
3,2,1,458.5
3,2,4,328.6
3,2,5,433.0
3,2,6,551.1
3,4,1,52.9
3,4,2,208.2
3,4,5,89.3
3,4,6,84.3
3,5,1,77.9
3,5,2,358.9
3,5,4,135.3
3,5,6,181.2
3,6,1,160.4
3,6,2,556.7
3,6,4,233.1
3,6,5,285.6
4,1,2,219.1
4,1,3,65.1
4,1,5,95.5
4,1,6,88.7
4,2,1,690.6
4,2,3,737.3
4,2,5,839.4
4,2,6,957.2
4,3,1,106.7
4,3,2,466.3
4,3,5,183.1
4,3,6,205.1
4,5,1,179.4
4,5,2,545.6
4,5,3,237.2
4,5,6,220.0
4,6,1,249.1
4,6,2,599.6
4,6,3,386.9
4,6,5,433.0
5,1,2,410.2
5,1,3,116.3
5,1,4,161.4
5,1,6,153.2
5,2,1,974.3
5,2,3,657.3
5,2,4,747.4
5,2,6,839.4
5,3,1,194.1
5,3,2,599.6
5,3,4,347.5
5,3,6,443.6
5,4,1,282.7
5,4,2,1029.0
5,4,3,436.5
5,4,6,443.6
5,6,1,352.0
5,6,2,1113.0
5,6,3,429.6
5,6,4,634.4
6,1,2,737.3
6,1,3,401.2
6,1,4,568.3
6,1,5,593.0
6,2,1,1515.0
6,2,3,1330.0
6,2,4,2098.0
6,2,5,1604.0
6,3,1,556.7
6,3,2,1299.0
6,3,4,757.8
6,3,5,1160.0
6,4,1,673.6
6,4,2,1653.0
6,4,3,940.7
6,4,5,1136.0
6,5,1,682.0
6,5,2,1240.0
6,5,3,1160.0
6,5,4,1212.0
