b1,b2,b3,o
1,2,3,6.5
1,2,4,14.7
1,2,5,15.4
1,2,6,107.5
1,3,2,6.1
1,3,4,10.5
1,3,5,8.5
1,3,6,59.7
1,4,2,27.1
1,4,3,22.2
1,4,5,26.1
1,4,6,85.1
1,5,2,27.6
1,5,3,20.7
1,5,4,39.9
1,5,6,107.5
1,6,2,241.3
1,6,3,235.2
1,6,4,237.6
1,6,5,266.1
2,1,3,49.0
2,1,4,87.0
2,1,5,99.7
2,1,6,363.9
2,3,1,102.3
2,3,4,249.0
2,3,5,242.6
2,3,6,862.5
2,4,1,225.0
2,4,3,388.1
2,4,5,535.4
2,4,6,1058.0
2,5,1,240.1
2,5,3,381.8
2,5,4,475.3
2,5,6,1012.0
2,6,1,846.9
2,6,3,1293.0
2,6,4,1164.0
2,6,5,1109.0
3,1,2,36.2
3,1,4,49.3
3,1,5,36.6
3,1,6,207.0
3,2,1,90.4
3,2,4,216.6
3,2,5,180.5
3,2,6,656.0
3,4,1,126.5
3,4,2,304.4
3,4,5,294.8
3,4,6,656.0
3,5,1,103.0
3,5,2,210.7
3,5,4,347.6
3,5,6,685.0
3,6,1,612.8
3,6,2,1136.0
3,6,4,1258.0
3,6,5,1411.0
4,1,2,119.7
4,1,3,113.0
4,1,5,81.0
4,1,6,250.4
4,2,1,241.3
4,2,3,372.6
4,2,5,342.5
4,2,6,862.5
4,3,1,184.1
4,3,2,388.1
4,3,5,398.1
4,3,6,878.8
4,5,1,110.9
4,5,2,337.5
4,5,3,328.0
4,5,6,419.6
4,6,1,685.0
4,6,2,1455.0
4,6,3,1258.0
4,6,5,970.4
5,1,2,155.7
5,1,3,112.7
5,1,4,166.3
5,1,6,427.3
5,2,1,294.8
5,2,3,398.1
5,2,4,335.1
5,2,6,575.0
5,3,1,157.8
5,3,2,306.4
5,3,4,575.0
5,3,6,1012.0
5,4,1,210.7
5,4,2,675.0
5,4,3,685.0
5,4,6,862.5
5,6,1,970.4
5,6,2,1083.0
5,6,3,1330.0
5,6,4,1502.0
6,1,2,716.6
6,1,3,1109.0
6,1,4,991.0
6,1,5,1136.0
6,2,1,931.6
6,2,3,1293.0
6,2,4,878.8
6,2,5,1258.0
6,3,1,1194.0
6,3,2,1455.0
6,3,4,1330.0
6,3,5,2218.0
6,4,1,1194.0
6,4,2,1663.0
6,4,3,1663.0
6,4,5,1791.0
6,5,1,1411.0
6,5,2,1606.0
6,5,3,1940.0
6,5,4,1606.0
