b1,b2,b3,o
1,2,3,6.3
1,2,4,5.3
1,2,5,7.9
1,2,6,25.4
1,3,2,16.3
1,3,4,26.3
1,3,5,28.4
1,3,6,69.1
1,4,2,15.3
1,4,3,30.3
1,4,5,27.7
1,4,6,59.2
1,5,2,22.1
1,5,3,39.7
1,5,4,41.2
1,5,6,75.1
1,6,2,139.8
1,6,3,218.0
1,6,4,227.0
1,6,5,221.4
2,1,3,20.9
2,1,4,21.8
2,1,5,32.4
2,1,6,64.5
2,3,1,63.9
2,3,4,124.7
2,3,5,165.9
2,3,6,252.8
2,4,1,84.4
2,4,3,136.3
2,4,5,161.7
2,4,6,246.9
2,5,1,138.1
2,5,3,243.2
2,5,4,278.3
2,5,6,443.6
2,6,1,497.0
2,6,3,654.2
2,6,4,737.5
2,6,5,723.7
3,1,2,95.5
3,1,4,151.3
3,1,5,162.8
3,1,6,245.8
3,2,1,132.4
3,2,4,250.6
3,2,5,319.0
3,2,6,350.9
3,4,1,312.1
3,4,2,333.7
3,4,5,399.3
3,4,6,482.5
3,5,1,319.0
3,5,2,397.9
3,5,4,622.5
3,5,6,600.0
3,6,1,1378.0
3,6,2,1331.0
3,6,4,1523.0
3,6,5,1272.0
4,1,2,121.2
4,1,3,293.9
4,1,5,205.6
4,1,6,331.8
4,2,1,186.4
4,2,3,378.4
4,2,5,355.2
4,2,6,452.3
4,3,1,492.7
4,3,2,567.6
4,3,5,732.9
4,3,6,857.7
4,5,1,363.0
4,5,2,457.7
4,5,3,737.5
4,5,6,461.3
4,6,1,998.2
4,6,2,949.1
4,6,3,1503.0
4,6,5,732.9
5,1,2,161.7
5,1,3,263.7
5,1,4,307.9
5,1,6,368.7
5,2,1,270.5
5,2,3,514.6
5,2,4,570.4
5,2,6,793.1
5,3,1,389.9
5,3,2,619.2
5,3,4,1193.0
5,3,6,1286.0
5,4,1,528.7
5,4,2,669.3
5,4,3,1113.0
5,4,6,804.1
5,6,1,1006.0
5,6,2,1245.0
5,6,3,1362.0
5,6,4,1135.0
6,1,2,751.9
6,1,3,2105.0
6,1,4,1484.0
6,1,5,1484.0
6,2,1,1272.0
6,2,3,1608.0
6,2,4,1898.0
6,2,5,1702.0
6,3,1,1838.0
6,3,2,2316.0
6,3,4,2693.0
6,3,5,2631.0
6,4,1,1544.0
6,4,2,1930.0
6,4,3,2517.0
6,4,5,1544.0
6,5,1,1930.0
6,5,2,1702.0
6,5,3,2144.0
6,5,4,1206.0
