b1,b2,b3,o
1,2,3,11.2
1,2,4,19.0
1,2,5,57.1
1,2,6,75.7
1,3,2,15.6
1,3,4,28.5
1,3,5,79.8
1,3,6,111.1
1,4,2,39.5
1,4,3,46.4
1,4,5,123.8
1,4,6,157.4
1,5,2,141.5
1,5,3,214.2
1,5,4,180.1
1,5,6,210.4
1,6,2,230.8
1,6,3,339.7
1,6,4,365.8
1,6,5,403.0
2,1,3,10.7
2,1,4,18.5
2,1,5,56.4
2,1,6,84.9
2,3,1,12.9
2,3,4,13.7
2,3,5,42.5
2,3,6,81.1
2,4,1,31.0
2,4,3,23.9
2,4,5,107.1
2,4,6,131.3
2,5,1,159.6
2,5,3,104.3
2,5,4,201.5
2,5,6,286.5
2,6,1,349.7
2,6,3,210.4
2,6,4,383.5
2,6,5,448.7
3,1,2,27.7
3,1,4,40.3
3,1,5,91.4
3,1,6,156.4
3,2,1,26.5
3,2,4,25.6
3,2,5,75.2
3,2,6,97.8
3,4,1,51.4
3,4,2,35.8
3,4,5,114.3
3,4,6,154.4
3,5,1,242.6
3,5,2,140.7
3,5,4,226.4
3,5,6,317.0
3,6,1,417.2
3,6,2,273.3
3,6,4,383.5
3,6,5,625.8
4,1,2,88.4
4,1,3,85.8
4,1,5,214.2
4,1,6,377.4
4,2,1,85.8
4,2,3,63.7
4,2,5,224.3
4,2,6,297.2
4,3,1,92.5
4,3,2,70.9
4,3,5,267.2
4,3,6,396.3
4,5,1,267.2
4,5,2,267.2
4,5,3,304.8
4,5,6,304.8
4,6,1,528.4
4,6,2,371.5
4,6,3,820.0
4,6,5,660.6
5,1,2,410.0
5,1,3,330.3
5,1,4,553.0
5,1,6,317.0
5,2,1,389.8
5,2,3,255.7
5,2,4,334.9
5,2,6,354.9
5,3,1,457.3
5,3,2,339.7
5,3,4,475.6
5,3,6,594.5
5,4,1,642.7
5,4,2,505.9
5,4,3,540.4
5,4,6,516.9
5,6,1,820.0
5,6,2,679.4
5,6,3,880.8
5,6,4,849.3
6,1,2,448.7
6,1,3,642.7
6,1,4,660.6
6,1,5,1033.0
6,2,1,580.0
6,2,3,594.5
6,2,4,880.8
6,2,5,880.8
6,3,1,767.1
6,3,2,792.7
6,3,4,792.7
6,3,5,2161.0
6,4,1,820.0
6,4,2,990.9
6,4,3,1398.0
6,4,5,1321.0
6,5,1,951.2
6,5,2,951.2
6,5,3,1486.0
6,5,4,880.8
