b1,b2,b3,o
1,2,3,85.0
1,2,4,165.6
1,2,5,138.8
1,2,6,164.7
1,3,2,59.9
1,3,4,11.1
1,3,5,12.7
1,3,6,10.6
1,4,2,116.4
1,4,3,26.1
1,4,5,49.8
1,4,6,34.9
1,5,2,105.9
1,5,3,28.4
1,5,4,61.9
1,5,6,51.4
1,6,2,129.2
1,6,3,24.4
1,6,4,49.3
1,6,5,53.6
2,1,3,302.8
2,1,4,418.3
2,1,5,289.0
2,1,6,662.4
2,3,1,365.4
2,3,4,529.9
2,3,5,648.9
2,3,6,722.6
2,4,1,676.5
2,4,3,794.9
2,4,5,963.5
2,4,6,836.7
2,5,1,859.3
2,5,3,521.2
2,5,4,1324.0
2,5,6,529.9
2,6,1,963.5
2,6,3,739.4
2,6,4,1271.0
2,6,5,815.3
3,1,2,112.3
3,1,4,30.2
3,1,5,9.7
3,1,6,11.1
3,2,1,353.3
3,2,4,454.2
3,2,5,317.9
3,2,6,548.2
3,4,1,82.8
3,4,2,311.7
3,4,5,125.1
3,4,6,105.6
3,5,1,14.3
3,5,2,269.4
3,5,4,169.1
3,5,6,15.3
3,6,1,92.1
3,6,2,557.8
3,6,4,138.8
3,6,5,141.3
4,1,2,418.3
4,1,3,90.5
4,1,5,103.9
4,1,6,118.6
4,2,1,722.6
4,2,3,706.6
4,2,5,548.2
4,2,6,460.8
4,3,1,133.6
4,3,2,739.4
4,3,5,187.0
4,3,6,168.2
4,5,1,140.0
4,5,2,402.5
4,5,3,219.2
4,5,6,143.2
4,6,1,189.2
4,6,2,418.3
4,6,3,239.0
4,6,5,205.1
5,1,2,213.4
5,1,3,52.1
5,1,4,105.9
5,1,6,85.0
5,2,1,588.8
5,2,3,378.5
5,2,4,567.8
5,2,6,521.2
5,3,1,83.2
5,3,2,334.7
5,3,4,158.9
5,3,6,130.8
5,4,1,140.6
5,4,2,578.1
5,4,3,183.8
5,4,6,256.4
5,6,1,145.8
5,6,2,496.8
5,6,3,158.9
5,6,4,258.5
6,1,2,521.2
6,1,3,101.2
6,1,4,214.8
6,1,5,155.8
6,2,1,1096.0
6,2,3,1096.0
6,2,4,1135.0
6,2,5,908.5
6,3,1,133.6
6,3,2,648.9
6,3,4,317.9
6,3,5,256.4
6,4,1,345.6
6,4,2,1222.0
6,4,3,374.0
6,4,5,529.9
6,5,1,205.1
6,5,2,662.4
6,5,3,274.1
6,5,4,387.7
