b1,b2,b3,o
1,2,3,17.2
1,2,4,45.1
1,2,5,44.5
1,2,6,224.4
1,3,2,12.1
1,3,4,5.8
1,3,5,5.3
1,3,6,132.4
1,4,2,70.2
1,4,3,18.5
1,4,5,23.0
1,4,6,269.2
1,5,2,57.4
1,5,3,14.4
1,5,4,32.4
1,5,6,323.1
1,6,2,414.2
1,6,3,288.5
1,6,4,367.2
1,6,5,598.4
2,1,3,93.3
2,1,4,111.4
2,1,5,145.5
2,1,6,734.4
2,3,1,117.9
2,3,4,183.6
2,3,5,209.8
2,3,6,598.4
2,4,1,278.5
2,4,3,359.0
2,4,5,702.4
2,4,6,734.4
2,5,1,209.8
2,5,3,367.2
2,5,4,702.4
2,5,6,1009.0
2,6,1,1077.0
2,6,3,1242.0
2,6,4,769.3
2,6,5,2019.0
3,1,2,32.6
3,1,4,20.6
3,1,5,14.1
3,1,6,212.5
3,2,1,72.1
3,2,4,131.3
3,2,5,168.3
3,2,6,521.2
3,4,1,33.4
3,4,2,111.4
3,4,5,52.1
3,4,6,343.7
3,5,1,34.8
3,5,2,128.2
3,5,4,72.1
3,5,6,436.6
3,6,1,1154.0
3,6,2,1242.0
3,6,4,2019.0
3,6,5,1795.0
4,1,2,197.0
4,1,3,115.4
4,1,5,168.3
4,1,6,448.8
4,2,1,316.8
4,2,3,367.2
4,2,5,489.6
4,2,6,1077.0
4,3,1,134.6
4,3,2,323.1
4,3,5,207.1
4,3,6,621.4
4,5,1,159.9
4,5,2,367.2
4,5,3,207.1
4,5,6,475.2
4,6,1,1077.0
4,6,2,1795.0
4,6,3,1077.0
4,6,5,1615.0
5,1,2,144.2
5,1,3,49.5
5,1,4,161.5
5,1,6,394.0
5,2,1,299.2
5,2,3,367.2
5,2,4,489.6
5,2,6,1615.0
5,3,1,87.3
5,3,2,252.4
5,3,4,273.8
5,3,6,897.6
5,4,1,192.3
5,4,2,351.2
5,4,3,336.6
5,4,6,950.4
5,6,1,1615.0
5,6,2,807.8
5,6,3,1346.0
5,6,4,1615.0
6,1,2,557.1
6,1,3,769.3
6,1,4,1154.0
6,1,5,1242.0
6,2,1,850.3
6,2,3,950.4
6,2,4,1795.0
6,2,5,2692.0
6,3,1,1615.0
6,3,2,1615.0
6,3,4,1615.0
6,3,5,4039.0
6,4,1,2308.0
6,4,2,2308.0
6,4,3,3231.0
6,4,5,2308.0
6,5,1,2692.0
6,5,2,1795.0
6,5,3,1154.0
6,5,4,702.4
