b1,b2,b3,o
1,2,3,38.8
1,2,4,20.5
1,2,5,16.9
1,2,6,50.9
1,3,2,60.0
1,3,4,68.1
1,3,5,62.1
1,3,6,143.8
1,4,2,34.4
1,4,3,79.2
1,4,5,31.1
1,4,6,71.6
1,5,2,28.5
1,5,3,74.7
1,5,4,39.3
1,5,6,64.6
1,6,2,143.5
1,6,3,277.2
1,6,4,201.3
1,6,5,158.8
2,1,3,65.6
2,1,4,34.3
2,1,5,25.5
2,1,6,72.4
2,3,1,133.5
2,3,4,87.0
2,3,5,69.9
2,3,6,151.4
2,4,1,49.9
2,4,3,82.9
2,4,5,18.4
2,4,6,46.3
2,5,1,35.5
2,5,3,67.2
2,5,4,20.5
2,5,6,35.8
2,6,1,209.0
2,6,3,281.6
2,6,4,127.7
2,6,5,106.0
3,1,2,253.4
3,1,4,264.5
3,1,5,199.2
3,1,6,438.6
3,2,1,282.0
3,2,4,200.7
3,2,5,145.9
3,2,6,317.2
3,4,1,279.0
3,4,2,226.3
3,4,5,161.3
3,4,6,266.8
3,5,1,227.2
3,5,2,172.9
3,5,4,184.7
3,5,6,241.4
3,6,1,859.6
3,6,2,646.0
3,6,4,813.7
3,6,5,576.1
4,1,2,111.7
4,1,3,274.0
4,1,5,73.1
4,1,6,175.6
4,2,1,108.4
4,2,3,200.5
4,2,5,36.6
4,2,6,97.7
4,3,1,397.7
4,3,2,333.1
4,3,5,226.8
4,3,6,428.0
4,5,1,63.2
4,5,2,31.2
4,5,3,118.6
4,5,6,33.5
4,6,1,273.6
4,6,2,184.9
4,6,3,478.0
4,6,5,89.2
5,1,2,64.8
5,1,3,185.3
5,1,4,71.8
5,1,6,107.7
5,2,1,70.5
5,2,3,148.8
5,2,4,41.3
5,2,6,68.7
5,3,1,256.2
5,3,2,200.7
5,3,4,224.1
5,3,6,271.9
5,4,1,74.9
5,4,2,40.1
5,4,3,188.1
5,4,6,43.6
5,6,1,179.9
5,6,2,121.5
5,6,3,261.5
5,6,4,79.6
6,1,2,537.0
6,1,3,1116.0
6,1,4,819.9
6,1,5,562.5
6,2,1,640.2
6,2,3,880.9
6,2,4,425.5
6,2,5,357.1
6,3,1,1357.0
6,3,2,956.0
6,3,4,1134.0
6,3,5,1055.0
6,4,1,748.0
6,4,2,488.9
6,4,3,943.3
6,4,5,191.5
6,5,1,555.1
6,5,2,346.6
6,5,3,685.5
6,5,4,181.7
