b1,b2,b3,o
1,2,3,8.2
1,2,4,7.4
1,2,5,9.7
1,2,6,26.5
1,3,2,18.3
1,3,4,18.9
1,3,5,18.4
1,3,6,47.3
1,4,2,13.0
1,4,3,22.6
1,4,5,13.0
1,4,6,27.4
1,5,2,15.4
1,5,3,26.7
1,5,4,18.0
1,5,6,29.3
1,6,2,73.2
1,6,3,116.2
1,6,4,88.9
1,6,5,69.2
2,1,3,86.3
2,1,4,67.0
2,1,5,68.7
2,1,6,133.3
2,3,1,256.6
2,3,4,328.0
2,3,5,437.3
2,3,6,542.3
2,4,1,198.8
2,4,3,380.1
2,4,5,358.3
2,4,6,505.2
2,5,1,225.3
2,5,3,531.6
2,5,4,425.9
2,5,6,417.1
2,6,1,645.6
2,6,3,1251.0
2,6,4,805.4
2,6,5,713.5
3,1,2,210.7
3,1,4,218.0
3,1,5,228.5
3,1,6,444.5
3,2,1,421.5
3,2,4,561.0
3,2,5,611.6
3,2,6,847.3
3,4,1,514.8
3,4,2,602.5
3,4,5,914.0
3,4,6,865.4
3,5,1,478.5
3,5,2,689.4
3,5,4,1114.0
3,5,6,1042.0
3,6,1,1196.0
3,6,2,1694.0
3,6,4,1402.0
3,6,5,1291.0
4,1,2,82.0
4,1,3,170.5
4,1,5,70.3
4,1,6,149.5
4,2,1,203.3
4,2,3,406.7
4,2,5,343.2
4,2,6,392.9
4,3,1,398.7
4,3,2,677.9
4,3,5,689.4
4,3,6,821.7
4,5,1,102.9
4,5,2,202.3
4,5,3,329.3
4,5,6,185.7
4,6,1,472.9
4,6,2,630.6
4,6,3,1162.0
4,6,5,557.1
5,1,2,147.1
5,1,3,240.6
5,1,4,182.3
5,1,6,204.9
5,2,1,258.2
5,2,3,732.8
5,2,4,462.2
5,2,6,625.7
5,3,1,496.0
5,3,2,1070.0
5,3,4,1016.0
5,3,6,1214.0
5,4,1,254.2
5,4,2,454.4
5,4,3,753.2
5,4,6,408.7
5,6,1,406.7
5,6,2,813.4
5,6,3,1042.0
5,6,4,630.6
6,1,2,635.5
6,1,3,677.9
6,1,4,847.3
6,1,5,865.4
6,2,1,1042.0
6,2,3,1145.0
6,2,4,1178.0
6,2,5,1427.0
6,3,1,805.4
6,3,2,1564.0
6,3,4,2085.0
6,3,5,1848.0
6,4,1,1355.0
6,4,2,1355.0
6,4,3,2085.0
6,4,5,1232.0
6,5,1,980.1
6,5,2,1355.0
6,5,3,1768.0
6,5,4,865.4
