b1,b2,b3,o
1,2,3,7.8
1,2,4,14.9
1,2,5,25.4
1,2,6,37.0
1,3,2,10.6
1,3,4,15.5
1,3,5,25.5
1,3,6,36.1
1,4,2,32.4
1,4,3,36.4
1,4,5,63.0
1,4,6,77.9
1,5,2,32.1
1,5,3,34.6
1,5,4,63.1
1,5,6,38.6
1,6,2,46.6
1,6,3,46.2
1,6,4,83.9
1,6,5,52.7
2,1,3,30.5
2,1,4,48.1
2,1,5,82.7
2,1,6,127.4
2,3,1,32.3
2,3,4,35.4
2,3,5,66.7
2,3,6,119.8
2,4,1,86.5
2,4,3,67.8
2,4,5,169.1
2,4,6,271.3
2,5,1,225.3
2,5,3,168.7
2,5,4,274.9
2,5,6,403.7
2,6,1,379.4
2,6,3,404.6
2,6,4,494.3
2,6,5,628.2
3,1,2,32.2
3,1,4,34.6
3,1,5,60.8
3,1,6,99.9
3,2,1,41.5
3,2,4,44.6
3,2,5,82.9
3,2,6,121.8
3,4,1,58.2
3,4,2,63.8
3,4,5,92.7
3,4,6,125.1
3,5,1,147.6
3,5,2,181.0
3,5,4,191.1
3,5,6,308.1
3,6,1,265.6
3,6,2,343.2
3,6,4,323.9
3,6,5,434.6
4,1,2,190.6
4,1,3,175.7
4,1,5,322.4
4,1,6,425.6
4,2,1,258.4
4,2,3,183.6
4,2,5,450.7
4,2,6,443.3
4,3,1,190.4
4,3,2,167.3
4,3,5,308.3
4,3,6,362.6
4,5,1,519.8
4,5,2,685.7
4,5,3,627.1
4,5,6,725.2
4,6,1,833.2
4,6,2,874.6
4,6,3,868.1
4,6,5,1033.0
5,1,2,243.5
5,1,3,192.8
5,1,4,392.5
5,1,6,225.6
5,2,1,408.9
5,2,3,407.4
5,2,4,653.9
5,2,6,745.1
5,3,1,327.8
5,3,2,448.4
5,3,4,537.3
5,3,6,644.3
5,4,1,670.1
5,4,2,955.2
5,4,3,790.2
5,4,6,968.3
5,6,1,368.3
5,6,2,766.2
5,6,3,657.5
5,6,4,910.7
6,1,2,333.1
6,1,3,334.7
6,1,4,629.4
6,1,5,343.5
6,2,1,655.1
6,2,3,758.0
6,2,4,995.6
6,2,5,1033.0
6,3,1,606.6
6,3,2,823.5
6,3,4,793.8
6,3,5,1001.0
6,4,1,1064.0
6,4,2,1167.0
6,4,3,1077.0
6,4,5,1245.0
6,5,1,444.4
6,5,2,998.5
6,5,3,984.5
6,5,4,1052.0
