b1,b2,b3,o
1,2,3,8.0
1,2,4,19.3
1,2,5,13.7
1,2,6,130.6
1,3,2,9.6
1,3,4,54.7
1,3,5,11.7
1,3,6,196.0
1,4,2,24.0
1,4,3,49.5
1,4,5,14.2
1,4,6,136.3
1,5,2,11.6
1,5,3,18.2
1,5,4,11.8
1,5,6,101.1
1,6,2,171.0
1,6,3,392.0
1,6,4,303.5
1,6,5,409.0
2,1,3,93.1
2,1,4,116.1
2,1,5,86.3
2,1,6,285.1
2,3,1,224.0
2,3,4,188.1
2,3,5,171.0
2,3,6,855.3
2,4,1,229.4
2,4,3,448.0
2,4,5,361.8
2,4,6,376.3
2,5,1,127.1
2,5,3,127.1
2,5,4,324.4
2,5,6,361.8
2,6,1,855.3
2,6,3,855.3
2,6,4,294.0
2,6,5,784.0
3,1,2,188.1
3,1,4,209.0
3,1,5,98.0
3,1,6,392.0
3,2,1,553.4
3,2,4,241.2
3,2,5,224.0
3,2,6,348.4
3,4,1,204.5
3,4,2,303.5
3,4,5,285.1
3,4,6,495.1
3,5,1,180.9
3,5,2,192.0
3,5,4,313.6
3,5,6,392.0
3,6,1,723.7
3,6,2,303.5
3,6,4,940.8
3,6,5,940.8
4,1,2,72.9
4,1,3,313.6
4,1,5,64.4
4,1,6,285.1
4,2,1,105.7
4,2,3,376.3
4,2,5,254.2
4,2,6,348.4
4,3,1,324.4
4,3,2,470.4
4,3,5,268.8
4,3,6,553.4
4,5,1,67.6
4,5,2,171.0
4,5,3,177.5
4,5,6,81.1
4,6,1,303.5
4,6,2,241.2
4,6,3,313.6
4,6,5,376.3
5,1,2,33.2
5,1,3,49.7
5,1,4,35.5
5,1,6,165.0
5,2,1,85.5
5,2,3,127.1
5,2,4,200.1
5,2,6,495.1
5,3,1,171.0
5,3,2,154.2
5,3,4,348.4
5,3,6,627.2
5,4,1,68.1
5,4,2,188.1
5,4,3,361.8
5,4,6,218.8
5,6,1,376.3
5,6,2,495.1
5,6,3,627.2
5,6,4,427.6
6,1,2,313.6
6,1,3,723.7
6,1,4,522.7
6,1,5,940.8
6,2,1,348.4
6,2,3,336.0
6,2,4,553.4
6,2,5,940.8
6,3,1,1045.0
6,3,2,672.0
6,3,4,940.8
6,3,5,1176.0
6,4,1,553.4
6,4,2,855.3
6,4,3,1568.0
6,4,5,1344.0
6,5,1,1045.0
6,5,2,1045.0
6,5,3,855.3
6,5,4,392.0
